design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error
alu32,datapath,alu32,delay_choice_deep_v3,0,2051,10917.97,-3.588,-26.482,10559.38,0.7,ok,
alu32,datapath,alu32,yosys_default,0,2064,10724.04,-4.608,-55.167,11830.39,0.8,ok,
alu32,datapath,alu32,delay_choice_deep,0,2064,10729.04,-2.812,-22.545,9783.68,0.8,ok,
alu32,datapath,alu32,delay_choice_deep_v4,0,2015,10774.08,-2.599,-16.220,9572.25,0.8,ok,
alu32,datapath,alu32,delay_choice_deep_bb,0,2019,10820.38,-3.089,-25.503,10340.42,0.8,ok,
alu32,datapath,alu32,delay_choice_deep_v2,0,2064,10729.04,-2.812,-22.545,9783.68,0.9,ok,
alu32,datapath,alu32,orfs_speed,0,2064,10729.04,-2.812,-22.545,9783.68,0.9,ok,
alu32,datapath,alu32,balanced_resyn,0,1977,10428.75,-4.976,-46.084,11687.67,1.1,ok,
alu32,datapath,alu32,area_safe,0,2051,10598.92,-4.967,-55.229,11666.42,1.1,ok,
alu32,datapath,alu32,area_classic,0,2004,10513.83,-3.982,-49.716,11329.60,1.1,ok,
alu32,datapath,alu32,area_lut6,0,2039,10577.64,-4.350,-51.449,11212.60,1.2,ok,
alu32,datapath,alu32,delay_triple,0,2020,10611.43,-2.613,-8.774,9341.43,1.5,ok,
alu32,datapath,alu32,balanced_resyn2x,0,1985,10356.18,-4.582,-44.835,11511.02,1.6,ok,
alu32,datapath,alu32,area_max,0,1985,10359.94,-4.772,-53.622,12171.81,1.7,ok,
alu32,datapath,alu32,delay_iter_heavy,1,2001,10478.80,-2.457,-12.928,9576.92,1.8,ok,
alu32,datapath,alu32,delay_aggressive,0,2001,10445.02,-5.099,-61.042,11858.38,2.1,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3,0,1849,12329.32,-1.847,-14.455,9675.49,0.5,ok,
mul16_pipe,datapath,mul16_pipe,yosys_default,0,1898,12234.23,-4.609,-42.353,12683.93,0.5,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep,0,1826,12125.38,-1.323,-8.878,9323.36,0.5,ok,
mul16_pipe,datapath,mul16_pipe,orfs_speed,0,1826,12125.38,-1.323,-8.878,9323.36,0.5,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_bb,0,1915,12451.94,-3.012,-18.205,10904.85,0.6,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v2,0,1826,12125.38,-1.323,-8.878,9323.36,0.6,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v4,0,1905,12455.70,-3.084,-22.898,11003.74,0.6,ok,
mul16_pipe,datapath,mul16_pipe,balanced_resyn,0,1860,12253.00,-1.266,-10.167,9564.62,0.9,ok,
mul16_pipe,datapath,mul16_pipe,area_safe,0,1856,12086.59,-4.751,-35.475,12613.88,0.9,ok,
mul16_pipe,datapath,mul16_pipe,area_classic,0,1852,12104.11,-4.319,-39.001,12306.36,0.9,ok,
mul16_pipe,datapath,mul16_pipe,area_lut6,0,1851,12047.80,-4.559,-30.886,12383.49,1.0,ok,
mul16_pipe,datapath,mul16_pipe,delay_triple,0,1871,12170.42,-1.960,-14.194,10039.07,1.2,ok,
mul16_pipe,datapath,mul16_pipe,balanced_resyn2x,0,1876,12266.76,-2.337,-13.635,9825.86,1.3,ok,
mul16_pipe,datapath,mul16_pipe,delay_iter_heavy,1,1864,12194.20,-1.071,-7.786,9340.75,1.3,ok,
mul16_pipe,datapath,mul16_pipe,area_max,0,1892,12254.25,-3.927,-27.677,11426.74,1.6,ok,
mul16_pipe,datapath,mul16_pipe,delay_aggressive,0,1875,12091.60,-4.169,-35.345,11809.48,2.0,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3,0,6430,39414.05,-3.896,-4.622,11893.72,1.4,ok,
mul32_mac,datapath,mul32_mac,orfs_speed,0,6338,38939.85,-4.273,-4.932,12243.65,1.6,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep,0,6338,38939.85,-4.273,-4.932,12243.65,1.6,ok,
mul32_mac,datapath,mul32_mac,yosys_default,0,6703,39185.08,-8.964,-138.442,17201.82,1.7,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v2,0,6338,38939.85,-4.273,-4.932,12243.65,1.8,ok,
