design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error
alu32,datapath,alu32,delay_choice_deep_v3,0,2051,10924.23,-3.169,-23.487,9961.97,0.8,ok,
alu32,datapath,alu32,yosys_default,0,2064,11113.16,-3.605,-34.359,10080.59,0.8,ok,
alu32,datapath,alu32,delay_choice_deep,0,2064,10729.04,-2.812,-22.545,9783.68,0.8,ok,
alu32,datapath,alu32,delay_choice_deep_v4,0,2015,10774.08,-2.599,-16.220,9572.25,0.8,ok,
alu32,datapath,alu32,delay_choice_deep_bb,0,2019,10825.38,-2.718,-23.017,9658.32,0.9,ok,
alu32,datapath,alu32,delay_choice_deep_v2,0,2064,10729.04,-2.812,-22.545,9783.68,0.9,ok,
alu32,datapath,alu32,orfs_speed,0,2064,10729.04,-2.812,-22.545,9783.68,0.9,ok,
alu32,datapath,alu32,area_safe,0,2051,10721.53,-3.324,-38.849,9968.88,1.0,ok,
alu32,datapath,alu32,area_classic,0,2004,10608.92,-2.929,-34.829,9968.31,1.1,ok,
alu32,datapath,alu32,balanced_resyn,0,1977,10547.62,-3.319,-24.251,9963.44,1.1,ok,
alu32,datapath,alu32,area_lut6,0,2039,10661.48,-3.312,-37.182,9978.83,1.2,ok,
alu32,datapath,alu32,delay_triple,0,2020,10611.43,-2.613,-8.774,9341.43,1.5,ok,
alu32,datapath,alu32,balanced_resyn2x,0,1985,10750.31,-3.447,-30.121,10100.72,1.5,ok,
alu32,datapath,alu32,delay_iter_heavy,1,2001,10478.80,-2.457,-12.928,9576.92,1.6,ok,
alu32,datapath,alu32,area_max,0,1985,10505.08,-3.225,-32.446,9981.65,1.6,ok,
alu32,datapath,alu32,delay_aggressive,0,2001,10601.42,-3.421,-37.122,9980.48,2.1,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3,0,1849,12371.87,-1.397,-9.278,8873.83,0.4,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep,0,1826,12149.15,-1.007,-5.416,8895.28,0.5,ok,
mul16_pipe,datapath,mul16_pipe,yosys_default,0,1898,12383.13,-3.324,-23.927,10892.57,0.5,ok,
mul16_pipe,datapath,mul16_pipe,orfs_speed,0,1826,12149.15,-1.007,-5.416,8895.28,0.5,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v2,0,1826,12149.15,-1.007,-5.416,8895.28,0.5,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_bb,0,1915,12730.96,-1.740,-6.693,9384.23,0.6,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v4,0,1905,12669.65,-1.699,-7.859,9222.78,0.7,ok,
mul16_pipe,datapath,mul16_pipe,balanced_resyn,0,1860,12294.29,-1.016,-6.173,8961.36,0.9,ok,
mul16_pipe,datapath,mul16_pipe,area_safe,0,1856,12325.57,-3.242,-18.920,10740.58,0.9,ok,
mul16_pipe,datapath,mul16_pipe,area_lut6,0,1851,12265.51,-3.226,-18.560,10799.00,0.9,ok,
mul16_pipe,datapath,mul16_pipe,area_classic,0,1852,12220.47,-3.280,-23.844,10776.83,1.0,ok,
mul16_pipe,datapath,mul16_pipe,delay_triple,0,1871,12221.72,-1.102,-6.902,8914.55,1.1,ok,
mul16_pipe,datapath,mul16_pipe,balanced_resyn2x,0,1876,12324.32,-1.615,-6.810,8918.36,1.3,ok,
mul16_pipe,datapath,mul16_pipe,delay_iter_heavy,1,1864,12220.47,-0.901,-4.738,8792.18,1.4,ok,
mul16_pipe,datapath,mul16_pipe,area_max,0,1892,12512.00,-3.045,-19.411,10338.18,1.5,ok,
mul16_pipe,datapath,mul16_pipe,delay_aggressive,0,1875,12533.27,-2.497,-15.905,9955.20,2.0,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3,0,6430,39414.05,-3.896,-4.622,11893.72,1.4,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep,0,6338,38939.85,-4.273,-4.932,12243.65,1.4,ok,
mul32_mac,datapath,mul32_mac,orfs_speed,0,6338,38939.85,-4.273,-4.932,12243.65,1.5,ok,
mul32_mac,datapath,mul32_mac,yosys_default,0,6703,39216.36,-7.940,-109.839,15948.13,1.5,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v2,0,6338,38939.85,-4.273,-4.932,12243.65,1.7,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v4,0,6266,38171.61,-5.319,-36.542,13515.24,1.7,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_bb,0,6362,38289.22,-5.240,-26.210,13277.63,1.7,ok,
mul32_mac,datapath,mul32_mac,balanced_resyn,1,6482,39145.04,-3.778,-3.778,11566.26,2.6,ok,
mul32_mac,datapath,mul32_mac,area_classic,0,6414,38708.37,-12.960,-160.011,19976.86,3.0,ok,
mul32_mac,datapath,mul32_mac,area_lut6,0,6445,38737.15,-10.429,-118.470,17539.52,3.0,ok,
mul32_mac,datapath,mul32_mac,area_safe,0,6452,38449.38,-8.404,-107.900,15645.34,3.1,ok,
mul32_mac,datapath,mul32_mac,delay_triple,0,6526,39372.76,-4.341,-4.836,11875.28,3.7,ok,
mul32_mac,datapath,mul32_mac,balanced_resyn2x,0,6527,39374.01,-4.048,-4.048,11788.28,4.6,ok,
mul32_mac,datapath,mul32_mac,delay_iter_heavy,0,6549,39499.13,-3.926,-3.926,11549.09,4.7,ok,
mul32_mac,datapath,mul32_mac,area_max,0,6653,39384.02,-13.732,-187.939,20571.91,5.5,ok,
mul32_mac,datapath,mul32_mac,delay_aggressive,0,6562,38916.07,-12.605,-158.610,19445.69,7.1,ok,
fir8,dsp,fir8,delay_choice_deep_v3,0,1734,13097.56,-0.667,-3.861,11692.78,0.5,ok,
fir8,dsp,fir8,orfs_speed,0,1708,12946.17,-0.580,-3.069,11727.11,0.5,ok,
fir8,dsp,fir8,delay_choice_deep,0,1708,12946.17,-0.580,-3.069,11727.11,0.5,ok,
fir8,dsp,fir8,delay_choice_deep_bb,0,1759,13314.02,-1.306,-6.880,11910.30,0.5,ok,
fir8,dsp,fir8,delay_choice_deep_v2,0,1708,12946.17,-0.580,-3.069,11727.11,0.6,ok,
fir8,dsp,fir8,yosys_default,0,1691,13181.39,-1.384,-6.313,11985.93,0.6,ok,
fir8,dsp,fir8,delay_choice_deep_v4,0,1799,13434.13,-0.723,-3.799,11750.57,0.6,ok,
fir8,dsp,fir8,balanced_resyn,0,1697,12836.06,-0.709,-3.806,11753.38,0.8,ok,
fir8,dsp,fir8,area_classic,0,1708,13052.52,-1.433,-7.928,12250.10,0.9,ok,
fir8,dsp,fir8,area_safe,0,1652,12866.09,-1.106,-5.601,12031.25,0.9,ok,
fir8,dsp,fir8,area_lut6,0,1655,12714.69,-1.295,-6.362,11990.45,0.9,ok,
fir8,dsp,fir8,delay_triple,1,1733,12991.21,-0.201,-0.617,11700.86,1.0,ok,
fir8,dsp,fir8,balanced_resyn2x,0,1660,12652.13,-0.751,-4.369,11834.45,1.1,ok,
fir8,dsp,fir8,delay_iter_heavy,0,1740,13016.23,-0.535,-0.921,11740.68,1.3,ok,
fir8,dsp,fir8,area_max,0,1651,12814.79,-1.581,-8.282,12138.20,1.4,ok,
fir8,dsp,fir8,delay_aggressive,0,1648,12504.49,-1.834,-10.452,11968.23,1.6,ok,
aes_round,crypto,aes_round,delay_choice_deep_v3,0,9563,53192.27,0.013,0.000,7114.78,2.9,ok,
aes_round,crypto,aes_round,yosys_default,0,9447,50574.76,-0.179,-0.229,6954.21,3.1,ok,
