design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error
alu32,datapath,alu32,delay_choice_deep_v3,0,2051,11058.11,-1.932,-10.111,8532.85,0.8,ok,
alu32,datapath,alu32,yosys_default,0,2064,11001.80,-3.402,-29.322,9544.78,0.8,ok,
alu32,datapath,alu32,delay_choice_deep_v4,0,2015,10811.62,-1.875,-8.434,8533.54,0.9,ok,
alu32,datapath,alu32,delay_choice_deep_v2,0,2064,10876.68,-1.992,-10.671,8543.70,0.9,ok,
alu32,datapath,alu32,orfs_speed,0,2064,10876.68,-1.992,-10.671,8543.70,0.9,ok,
alu32,datapath,alu32,delay_choice_deep,0,2064,10876.68,-1.992,-10.671,8543.70,0.9,ok,
alu32,datapath,alu32,delay_choice_deep_bb,1,2019,10954.26,-1.766,-11.889,8632.31,1.0,ok,
alu32,datapath,alu32,area_classic,0,2004,10765.32,-2.427,-26.962,9112.10,1.1,ok,
alu32,datapath,alu32,area_safe,0,2051,10795.35,-2.879,-33.004,9502.55,1.2,ok,
alu32,datapath,alu32,balanced_resyn,0,1977,10719.03,-2.508,-15.271,9155.43,1.2,ok,
alu32,datapath,alu32,area_lut6,0,2039,10936.74,-2.555,-25.585,9075.45,1.3,ok,
alu32,datapath,alu32,delay_triple,0,2020,10740.30,-1.829,-5.492,8563.47,1.5,ok,
alu32,datapath,alu32,area_max,0,1985,10830.39,-2.862,-28.902,9540.73,1.9,ok,
alu32,datapath,alu32,balanced_resyn2x,0,1985,10715.28,-2.429,-17.918,9099.93,1.9,ok,
alu32,datapath,alu32,delay_iter_heavy,0,2001,10611.43,-1.850,-7.497,8594.42,1.9,ok,
alu32,datapath,alu32,delay_aggressive,0,2001,10844.15,-2.724,-27.100,9314.20,2.3,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3,0,1849,12760.99,-0.667,-2.191,8071.68,0.5,ok,
mul16_pipe,datapath,mul16_pipe,orfs_speed,0,1826,12390.63,-0.435,-1.823,8099.35,0.5,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep,0,1826,12390.63,-0.435,-1.823,8099.35,0.6,ok,
mul16_pipe,datapath,mul16_pipe,yosys_default,0,1898,12383.13,-3.324,-23.927,10892.57,0.6,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v2,0,1826,12390.63,-0.435,-1.823,8099.35,0.7,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_bb,0,1915,12730.96,-1.740,-6.693,9384.23,0.7,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v4,0,1905,12669.65,-1.699,-7.859,9222.78,0.7,ok,
mul16_pipe,datapath,mul16_pipe,area_safe,0,1856,12325.57,-3.242,-18.920,10740.58,0.9,ok,
mul16_pipe,datapath,mul16_pipe,balanced_resyn,1,1860,12463.20,-0.411,-0.667,8087.58,0.9,ok,
mul16_pipe,datapath,mul16_pipe,area_classic,0,1852,12220.47,-3.280,-23.844,10776.83,0.9,ok,
mul16_pipe,datapath,mul16_pipe,area_lut6,0,1851,12265.51,-3.226,-18.560,10799.00,1.0,ok,
mul16_pipe,datapath,mul16_pipe,delay_triple,0,1871,12426.92,-0.706,-3.904,8270.90,1.2,ok,
mul16_pipe,datapath,mul16_pipe,balanced_resyn2x,0,1876,12494.48,-1.179,-4.471,8491.98,1.4,ok,
mul16_pipe,datapath,mul16_pipe,delay_iter_heavy,0,1864,12370.61,-0.550,-2.827,8244.83,1.5,ok,
mul16_pipe,datapath,mul16_pipe,area_max,0,1892,12512.00,-3.045,-19.411,10338.18,1.6,ok,
mul16_pipe,datapath,mul16_pipe,delay_aggressive,0,1875,12533.27,-2.497,-15.905,9955.20,2.1,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3,0,6430,39414.05,-3.896,-4.622,11893.72,1.3,ok,
mul32_mac,datapath,mul32_mac,yosys_default,0,6703,39501.64,-6.720,-72.925,14538.89,1.5,ok,
mul32_mac,datapath,mul32_mac,orfs_speed,0,6338,38939.85,-4.273,-4.932,12243.65,1.5,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep,0,6338,38939.85,-4.273,-4.932,12243.65,1.6,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v2,0,6338,38939.85,-4.273,-4.932,12243.65,1.7,ok,
