design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error
alu32,datapath,alu32,balanced_struct,0,2031,10734.04,,,8203.02,1.0,ok,
alu32,datapath,alu32,delay_choice_deep_v3,0,2014,10975.53,,,8150.57,1.1,ok,
alu32,datapath,alu32,delay_choice_deep_v4,0,1983,10887.94,,,7470.58,1.2,ok,
alu32,datapath,alu32,delay_choice_deep_combined,0,1968,10894.20,,,7929.57,1.2,ok,
alu32,datapath,alu32,delay_choice_deep,0,2031,10734.04,,,8203.02,1.3,ok,
alu32,datapath,alu32,delay_choice_deep_bb,0,1991,10835.39,,,8385.22,1.4,ok,
alu32,datapath,alu32,delay_choice_deep_v2,0,2031,10734.04,,,8203.02,1.4,ok,
alu32,datapath,alu32,area_classic,0,1974,10591.41,,,8928.72,1.4,ok,
alu32,datapath,alu32,balanced_resyn,0,1963,10633.95,,,8887.78,1.5,ok,
alu32,datapath,alu32,area_lut6,0,2007,10638.95,,,8950.03,1.5,ok,
alu32,datapath,alu32,area_safe,0,2020,10655.22,,,9250.87,1.6,ok,
alu32,datapath,alu32,delay_retime,0,2003,10817.88,,,9959.42,1.7,ok,
alu32,datapath,alu32,delay_triple,0,1979,10666.48,,,7406.07,2.0,ok,
alu32,datapath,alu32,yosys_default,0,2049,10922.98,,,9282.18,0.8,ok,
alu32,datapath,alu32,orfs_speed,0,2031,10734.04,,,8203.02,0.9,ok,
alu32,datapath,alu32,area_max,0,1956,10557.63,,,9262.55,2.0,ok,
alu32,datapath,alu32,lazy_man,0,2614,14630.28,,,7796.50,2.0,ok,
alu32,datapath,alu32,balanced_resyn2x,0,1955,10565.13,,,8799.45,2.0,ok,
alu32,datapath,alu32,delay_iter_heavy,1,1969,10460.03,,,8015.70,2.2,ok,
alu32,datapath,alu32,lms,0,2795,15282.16,,,7511.44,1.5,ok,
alu32,datapath,alu32,delay_aggressive,0,1967,10714.03,,,9111.39,2.8,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3,0,1833,12648.38,,,7844.01,0.7,ok,
mul16_pipe,datapath,mul16_pipe,balanced_struct,0,1811,12286.78,,,7848.92,0.7,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v2,0,1811,12358.10,,,7785.17,0.7,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_combined,0,1880,12673.40,,,8314.41,0.7,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep,0,1811,12358.10,,,7785.17,0.7,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v4,0,1875,12473.21,,,8974.33,0.8,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_bb,0,1889,12564.55,,,9067.34,0.8,ok,
mul16_pipe,datapath,mul16_pipe,delay_retime,0,1876,12256.76,,,10539.44,1.0,ok,
mul16_pipe,datapath,mul16_pipe,balanced_resyn,0,1843,12400.64,,,7816.27,1.1,ok,
mul16_pipe,datapath,mul16_pipe,area_safe,0,1840,12200.45,,,10446.34,1.1,ok,
mul16_pipe,datapath,mul16_pipe,area_classic,1,1838,12169.17,,,10534.34,1.1,ok,
mul16_pipe,datapath,mul16_pipe,area_lut6,0,1837,12192.94,,,10524.63,1.1,ok,
mul16_pipe,datapath,mul16_pipe,yosys_default,0,1878,12338.08,,,10637.19,0.5,ok,
mul16_pipe,datapath,mul16_pipe,orfs_speed,0,1811,12286.78,,,7848.92,0.6,ok,
mul16_pipe,datapath,mul16_pipe,lazy_man,0,2395,15217.09,,,8729.87,1.4,ok,
mul16_pipe,datapath,mul16_pipe,delay_triple,0,1860,12354.35,,,7946.07,1.5,ok,
mul16_pipe,datapath,mul16_pipe,delay_iter_heavy,0,1854,12305.55,,,7836.80,1.6,ok,
mul16_pipe,datapath,mul16_pipe,balanced_resyn2x,0,1860,12340.59,,,8133.64,1.7,ok,
mul16_pipe,datapath,mul16_pipe,area_max,0,1874,12329.32,,,10072.53,1.9,ok,
mul16_pipe,datapath,mul16_pipe,lms,0,2494,15926.52,,,8684.42,1.4,ok,
mul16_pipe,datapath,mul16_pipe,delay_aggressive,0,1852,12235.48,,,9769.58,2.3,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3,0,6420,39633.01,,,10101.76,1.7,ok,
mul32_mac,datapath,mul32_mac,balanced_struct,0,6332,39386.52,,,9979.45,1.8,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_combined,0,6279,38748.41,,,11535.70,2.2,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v2,0,6332,39464.10,,,9938.68,2.2,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v4,1,6228,38500.68,,,11050.17,2.2,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep,0,6332,39464.10,,,9938.68,2.2,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_bb,0,6331,38573.24,,,10889.95,2.4,ok,
mul32_mac,datapath,mul32_mac,balanced_resyn,0,6474,39658.04,,,9882.79,3.0,ok,
mul32_mac,datapath,mul32_mac,area_classic,0,6410,38674.59,,,19741.66,3.4,ok,
mul32_mac,datapath,mul32_mac,orfs_speed,0,6332,39386.52,,,9979.45,1.5,ok,
mul32_mac,datapath,mul32_mac,delay_retime,0,6658,39540.42,,,13638.02,3.4,ok,
mul32_mac,datapath,mul32_mac,area_safe,0,6446,38639.56,,,13577.57,3.5,ok,
mul32_mac,datapath,mul32_mac,yosys_default,0,6697,39490.37,,,14304.23,1.5,ok,
mul32_mac,datapath,mul32_mac,area_lut6,0,6437,38805.97,,,17396.72,3.8,ok,
mul32_mac,datapath,mul32_mac,delay_triple,0,6524,40178.53,,,9923.62,4.2,ok,
mul32_mac,datapath,mul32_mac,lazy_man,0,8181,47484.29,,,11835.64,4.6,ok,
mul32_mac,datapath,mul32_mac,balanced_resyn2x,0,6515,39651.78,,,10017.92,4.9,ok,
mul32_mac,datapath,mul32_mac,delay_iter_heavy,0,6549,40161.02,,,9841.51,5.8,ok,
mul32_mac,datapath,mul32_mac,lms,0,8450,48534.05,,,11857.74,4.4,ok,
mul32_mac,datapath,mul32_mac,area_max,0,6646,39250.14,,,20498.68,6.1,ok,
mul32_mac,datapath,mul32_mac,delay_aggressive,0,6553,38853.51,,,19244.70,7.8,ok,
fir8,dsp,fir8,delay_choice_deep_v3,0,1627,12921.14,,,10084.80,0.6,ok,
fir8,dsp,fir8,balanced_struct,0,1601,12689.67,,,10253.63,0.6,ok,
fir8,dsp,fir8,delay_choice_deep_combined,0,1682,13215.17,,,10475.98,0.7,ok,
fir8,dsp,fir8,delay_choice_deep_v4,0,1703,13238.95,,,10590.62,0.7,ok,
fir8,dsp,fir8,delay_choice_deep_bb,0,1657,13180.14,,,10775.37,0.7,ok,
fir8,dsp,fir8,delay_choice_deep,0,1601,12689.67,,,10253.63,0.8,ok,
fir8,dsp,fir8,delay_choice_deep_v2,0,1601,12689.67,,,10253.63,0.9,ok,
fir8,dsp,fir8,delay_retime,0,1543,12374.37,,,11729.08,0.9,ok,
fir8,dsp,fir8,balanced_resyn,0,1583,12627.11,,,10340.40,0.9,ok,
fir8,dsp,fir8,area_classic,0,1595,12614.60,,,11996.42,0.9,ok,
fir8,dsp,fir8,area_safe,0,1537,12525.76,,,11479.15,0.9,ok,
fir8,dsp,fir8,delay_triple,0,1623,12765.99,,,10269.07,1.1,ok,
fir8,dsp,fir8,area_lut6,0,1543,12445.69,,,11501.64,1.1,ok,
fir8,dsp,fir8,yosys_default,0,1581,12642.12,,,11782.22,0.5,ok,
fir8,dsp,fir8,orfs_speed,0,1601,12689.67,,,10253.63,0.5,ok,
fir8,dsp,fir8,delay_iter_heavy,0,1636,12898.62,,,10081.80,1.4,ok,
fir8,dsp,fir8,balanced_resyn2x,0,1549,12494.48,,,10398.26,1.4,ok,
fir8,dsp,fir8,area_max,0,1534,12340.59,,,11896.30,1.6,ok,
fir8,dsp,fir8,lazy_man,0,2887,19397.35,,,10419.14,1.7,ok,
fir8,dsp,fir8,delay_aggressive,1,1540,12240.49,,,11408.88,2.0,ok,
fir8,dsp,fir8,lms,0,3061,19840.28,,,10453.84,1.5,ok,
aes_round,crypto,aes_round,delay_choice_deep_v3,0,9527,56505.44,,,4811.31,4.0,ok,
aes_round,crypto,aes_round,delay_choice_deep_combined,0,9350,54838.84,,,4841.02,4.3,ok,
aes_round,crypto,aes_round,balanced_struct,0,9638,55603.33,,,4942.97,4.4,ok,
aes_round,crypto,aes_round,delay_choice_deep,0,9638,55740.96,,,4898.68,4.6,ok,
aes_round,crypto,aes_round,delay_choice_deep_v4,0,9450,55453.18,,,4882.64,4.8,ok,
aes_round,crypto,aes_round,balanced_resyn,0,9601,53222.29,,,4666.86,4.9,ok,
aes_round,crypto,aes_round,delay_choice_deep_v2,0,9638,55804.77,,,4887.10,4.9,ok,
aes_round,crypto,aes_round,delay_choice_deep_bb,0,9401,54303.33,,,4915.59,4.9,ok,
aes_round,crypto,aes_round,area_classic,1,9233,49356.09,,,5137.13,5.3,ok,
aes_round,crypto,aes_round,area_safe,0,9554,52780.62,,,4742.85,5.8,ok,
aes_round,crypto,aes_round,area_lut6,0,9530,51005.17,,,4896.22,6.1,ok,
aes_round,crypto,aes_round,delay_retime,0,9424,52031.15,,,4769.49,6.6,ok,
aes_round,crypto,aes_round,lazy_man,0,11600,66147.19,,,4616.07,6.9,ok,
