design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error
alu32,datapath,alu32,yosys_default,0,2064,11001.80,-3.402,-29.322,9544.78,0.7,ok,
alu32,datapath,alu32,delay_choice_deep_v3,0,2051,11124.42,-1.753,-8.024,8391.89,0.8,ok,
alu32,datapath,alu32,orfs_speed,0,2064,10884.19,-1.947,-10.541,8501.65,0.8,ok,
alu32,datapath,alu32,delay_choice_deep_v2,0,2064,10897.95,-1.898,-9.617,8455.35,0.8,ok,
alu32,datapath,alu32,delay_choice_deep_v4,0,2015,11113.16,-1.100,-1.986,7697.92,0.8,ok,
alu32,datapath,alu32,delay_choice_deep,0,2064,10895.45,-1.872,-9.672,8565.83,0.9,ok,
alu32,datapath,alu32,delay_choice_deep_bb,0,2019,10954.26,-1.766,-11.889,8632.31,0.9,ok,
alu32,datapath,alu32,area_classic,0,2004,10765.32,-2.427,-26.962,9112.10,1.0,ok,
alu32,datapath,alu32,balanced_resyn,0,1977,10719.03,-2.508,-15.271,9155.43,1.0,ok,
alu32,datapath,alu32,area_safe,0,2051,10795.35,-2.879,-33.004,9502.55,1.0,ok,
alu32,datapath,alu32,area_lut6,0,2039,10936.74,-2.555,-25.585,9075.45,1.2,ok,
alu32,datapath,alu32,delay_triple,1,2020,10870.43,-0.922,-2.070,7656.44,1.4,ok,
alu32,datapath,alu32,balanced_resyn2x,0,1985,10715.28,-2.429,-17.918,9099.93,1.6,ok,
alu32,datapath,alu32,area_max,0,1985,10830.39,-2.862,-28.902,9540.73,1.6,ok,
alu32,datapath,alu32,delay_iter_heavy,0,2001,10636.45,-1.628,-5.097,8260.44,1.7,ok,
alu32,datapath,alu32,delay_aggressive,0,2001,10844.15,-2.724,-27.100,9314.20,2.0,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3,0,1849,12760.99,-0.667,-2.191,8071.68,0.5,ok,
mul16_pipe,datapath,mul16_pipe,orfs_speed,0,1826,12390.63,-0.435,-1.823,8099.35,0.5,ok,
mul16_pipe,datapath,mul16_pipe,yosys_default,0,1898,12383.13,-3.324,-23.927,10892.57,0.5,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep,0,1826,12390.63,-0.435,-1.823,8099.35,0.6,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_bb,0,1915,12730.96,-1.740,-6.693,9384.23,0.6,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v2,0,1826,12390.63,-0.435,-1.823,8099.35,0.6,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v4,0,1905,12669.65,-1.699,-7.859,9222.78,0.7,ok,
mul16_pipe,datapath,mul16_pipe,balanced_resyn,1,1860,12463.20,-0.411,-0.667,8087.58,0.8,ok,
mul16_pipe,datapath,mul16_pipe,area_safe,0,1856,12325.57,-3.242,-18.920,10740.58,0.9,ok,
mul16_pipe,datapath,mul16_pipe,area_lut6,0,1851,12265.51,-3.226,-18.560,10799.00,0.9,ok,
