design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error
alu32,datapath,alu32,delay_choice_deep_v4,0,1983,10887.94,-1.108,-1.712,7470.58,1.6,ok,
alu32,datapath,alu32,yosys_default,0,2049,10922.98,-3.401,-28.537,9282.18,1.5,ok,
alu32,datapath,alu32,delay_choice_deep_v3,0,2014,10975.53,-1.581,-7.810,8150.57,1.6,ok,
alu32,datapath,alu32,orfs_speed,0,2031,10734.04,-1.795,-10.086,8203.02,1.6,ok,
alu32,datapath,alu32,delay_choice_deep_bb,0,1991,10835.39,-1.834,-11.377,8385.22,1.6,ok,
alu32,datapath,alu32,delay_choice_deep,0,2031,10734.04,-1.795,-10.086,8203.02,1.8,ok,
alu32,datapath,alu32,delay_choice_deep_v2,0,2031,10734.04,-1.795,-10.086,8203.02,1.8,ok,
alu32,datapath,alu32,area_classic,0,1974,10591.41,-2.214,-23.431,8928.72,2.0,ok,
alu32,datapath,alu32,area_safe,0,2020,10655.22,-2.717,-31.016,9250.87,2.1,ok,
alu32,datapath,alu32,area_lut6,0,2007,10638.95,-2.354,-24.298,8950.03,2.1,ok,
alu32,datapath,alu32,balanced_resyn,0,1963,10633.95,-2.413,-16.427,8887.78,2.2,ok,
alu32,datapath,alu32,delay_triple,1,1979,10666.48,-0.732,-1.456,7406.07,2.6,ok,
alu32,datapath,alu32,balanced_resyn2x,0,1955,10565.13,-2.235,-17.334,8799.45,3.0,ok,
alu32,datapath,alu32,area_max,0,1956,10557.63,-2.630,-24.863,9262.55,3.2,ok,
alu32,datapath,alu32,delay_iter_heavy,0,1969,10460.03,-1.345,-4.534,8015.70,3.3,ok,
alu32,datapath,alu32,delay_aggressive,0,1967,10714.03,-2.557,-25.466,9111.39,3.9,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3,0,1833,12648.38,-0.441,-1.697,7844.01,0.7,ok,
mul16_pipe,datapath,mul16_pipe,yosys_default,0,1878,12338.08,-3.246,-24.087,10637.19,0.7,ok,
