design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error
alu32,datapath,alu32,yosys_default,0,2137,11287.08,-1.575,-16.667,8470.54,55.1,ok,
alu32,datapath,alu32,delay_choice_deep_v3,0,2150,11547.32,-0.563,-1.355,7370.09,55.2,ok,
alu32,datapath,alu32,delay_choice_deep,0,2087,11150.69,-1.669,-13.131,8335.92,55.6,ok,
alu32,datapath,alu32,delay_choice_deep_bb,0,2126,11474.76,-0.549,-1.505,7392.62,55.9,ok,
alu32,datapath,alu32,orfs_speed,0,2087,11135.68,-1.675,-14.453,8348.71,55.9,ok,
alu32,datapath,alu32,delay_choice_deep_v4,1,2184,11693.72,-0.331,-0.480,7246.32,55.9,ok,
alu32,datapath,alu32,delay_choice_deep_v2,0,2087,11150.69,-1.669,-13.131,8335.92,56.0,ok,
alu32,datapath,alu32,area_safe,0,2054,11239.53,-1.681,-12.856,8101.87,56.0,ok,
alu32,datapath,alu32,area_classic,0,2074,11188.23,-2.223,-21.871,8615.33,56.0,ok,
alu32,datapath,alu32,balanced_resyn,0,2041,11349.64,-1.380,-7.081,7926.08,56.1,ok,
alu32,datapath,alu32,area_lut6,0,2080,11244.53,-1.383,-10.024,7888.87,56.1,ok,
alu32,datapath,alu32,balanced_resyn2x,0,2034,10779.09,-1.807,-12.368,8716.12,56.4,ok,
alu32,datapath,alu32,delay_triple,0,2070,11408.44,-0.868,-2.413,7405.08,56.5,ok,
alu32,datapath,alu32,area_max,0,2045,10822.88,-2.401,-25.606,8969.12,56.6,ok,
alu32,datapath,alu32,delay_iter_heavy,0,2052,11115.66,-0.770,-2.852,7452.83,56.8,ok,
alu32,datapath,alu32,delay_aggressive,0,2064,10910.46,-2.984,-37.199,9567.97,57.2,ok,
mul16_pipe,datapath,mul16_pipe,yosys_default,0,1241,9082.46,-2.715,-19.199,10120.47,0.5,ok,
mul16_pipe,datapath,mul16_pipe,balanced_resyn,0,1281,9629.24,0.133,0.000,7479.67,0.7,ok,
mul16_pipe,datapath,mul16_pipe,area_safe,0,1265,9171.30,-2.535,-16.405,10046.97,0.7,ok,
mul16_pipe,datapath,mul16_pipe,area_lut6,0,1258,9316.44,-2.553,-18.226,9793.76,0.8,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_bb,0,1255,9664.27,0.023,0.000,7505.08,0.8,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3,0,1235,9536.65,-0.082,-0.082,7542.15,0.9,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v4,0,1263,9664.27,-0.090,-0.090,7767.50,0.9,ok,
mul16_pipe,datapath,mul16_pipe,area_classic,0,1260,9250.12,-2.161,-17.152,9492.53,0.9,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep,0,1235,9550.41,-0.017,-0.017,7614.30,0.9,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v2,0,1235,9604.21,-0.017,-0.017,7551.91,0.9,ok,
mul16_pipe,datapath,mul16_pipe,orfs_speed,0,1235,9505.37,-0.158,-0.362,7731.91,0.9,ok,
mul16_pipe,datapath,mul16_pipe,balanced_resyn2x,1,1272,9482.84,0.272,0.000,7727.61,1.1,ok,
mul16_pipe,datapath,mul16_pipe,area_max,0,1229,9062.44,-2.906,-23.620,10464.28,1.2,ok,
mul16_pipe,datapath,mul16_pipe,delay_triple,0,1236,9320.19,-0.120,-0.130,7735.98,1.3,ok,
mul16_pipe,datapath,mul16_pipe,delay_iter_heavy,0,1245,9290.16,-0.042,-0.083,7716.09,1.5,ok,
mul16_pipe,datapath,mul16_pipe,delay_aggressive,0,1234,9121.25,-2.444,-20.059,9974.75,1.5,ok,
mul32_mac,datapath,mul32_mac,yosys_default,0,5205,32956.61,-12.724,-186.258,19608.06,1.9,ok,
mul32_mac,datapath,mul32_mac,area_safe,0,5131,33275.66,-12.586,-173.276,19436.36,3.0,ok,
mul32_mac,datapath,mul32_mac,area_classic,0,5253,33657.28,-12.229,-173.383,19283.25,3.4,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3,0,5306,35936.97,-4.221,-11.520,11692.56,3.5,ok,
mul32_mac,datapath,mul32_mac,orfs_speed,0,5353,35815.60,-4.070,-7.329,11627.41,3.5,ok,
mul32_mac,datapath,mul32_mac,area_lut6,0,5080,33136.78,-11.447,-153.298,18549.84,3.6,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep,0,5353,35854.39,-4.047,-7.146,11515.90,4.0,ok,
mul32_mac,datapath,mul32_mac,balanced_resyn,0,5631,35702.99,-4.221,-10.136,11893.53,4.1,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v2,1,5353,36059.58,-4.014,-5.648,11446.65,4.2,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_bb,0,5597,37188.17,-4.165,-7.208,11494.63,5.0,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v4,0,5620,37076.81,-4.137,-7.976,11575.13,5.1,ok,
mul32_mac,datapath,mul32_mac,area_max,0,5160,33600.98,-11.082,-151.078,18758.39,6.2,ok,
mul32_mac,datapath,mul32_mac,balanced_resyn2x,0,5650,36140.91,-4.025,-8.184,11797.87,6.6,ok,
mul32_mac,datapath,mul32_mac,delay_triple,0,5440,35331.39,-4.231,-11.183,11986.20,7.2,ok,
mul32_mac,datapath,mul32_mac,delay_aggressive,0,5129,32846.50,-11.660,-153.796,18695.34,7.9,ok,
mul32_mac,datapath,mul32_mac,delay_iter_heavy,0,5429,36028.30,-4.252,-8.828,11642.38,8.2,ok,
fir8,dsp,fir8,yosys_default,0,1978,14382.54,-1.579,-8.871,12337.01,1.1,ok,
fir8,dsp,fir8,delay_choice_deep_v3,0,2015,15041.93,0.574,0.000,10143.72,1.2,ok,
fir8,dsp,fir8,orfs_speed,0,1966,14829.22,0.467,0.000,10223.36,1.2,ok,
fir8,dsp,fir8,delay_choice_deep,0,1966,14971.86,0.295,0.000,10157.73,1.3,ok,
fir8,dsp,fir8,delay_choice_deep_bb,0,2040,15471.09,0.467,0.000,9961.97,1.3,ok,
fir8,dsp,fir8,delay_choice_deep_v4,0,2066,15563.68,0.425,0.000,9971.23,1.3,ok,
fir8,dsp,fir8,delay_choice_deep_v2,0,1966,14928.07,0.548,0.000,10128.43,1.3,ok,
fir8,dsp,fir8,area_classic,0,1918,14172.34,-0.728,-3.017,11158.77,1.5,ok,
fir8,dsp,fir8,balanced_resyn,0,1963,14646.55,0.376,0.000,10048.11,1.5,ok,
fir8,dsp,fir8,area_lut6,0,1927,14249.92,-1.032,-3.342,11311.06,1.5,ok,
fir8,dsp,fir8,area_safe,0,1899,14069.74,-1.058,-3.137,11255.38,1.6,ok,
fir8,dsp,fir8,delay_triple,0,1965,14670.32,0.289,0.000,10156.58,1.8,ok,
fir8,dsp,fir8,balanced_resyn2x,1,1996,15014.40,0.669,0.000,10128.10,1.9,ok,
fir8,dsp,fir8,delay_iter_heavy,0,1976,14635.29,0.518,0.000,10171.87,2.0,ok,
