design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error
alu32,datapath,alu32,delay_choice_deep_v3,0,2051,11124.42,-1.753,-8.024,8391.89,1.4,ok,
alu32,datapath,alu32,delay_choice_deep_bb,0,2019,10954.26,-1.766,-11.889,8632.31,1.4,ok,
alu32,datapath,alu32,delay_choice_deep_v4,0,2015,11113.16,-1.100,-1.986,7697.92,1.4,ok,
alu32,datapath,alu32,delay_choice_deep,0,2064,10895.45,-1.872,-9.672,8565.83,1.4,ok,
alu32,datapath,alu32,orfs_speed,0,2064,10884.19,-1.947,-10.541,8501.65,1.4,ok,
alu32,datapath,alu32,delay_choice_deep_v2,0,2064,10897.95,-1.898,-9.617,8455.35,1.5,ok,
alu32,datapath,alu32,yosys_default,0,2064,11001.80,-3.402,-29.322,9544.78,1.5,ok,
alu32,datapath,alu32,area_classic,0,2004,10765.32,-2.427,-26.962,9112.10,1.7,ok,
alu32,datapath,alu32,balanced_resyn,0,1977,10719.03,-2.508,-15.271,9155.43,1.7,ok,
alu32,datapath,alu32,area_safe,0,2051,10795.35,-2.879,-33.004,9502.55,1.8,ok,
alu32,datapath,alu32,area_lut6,0,2039,10936.74,-2.555,-25.585,9075.45,2.0,ok,
alu32,datapath,alu32,delay_triple,1,2020,10870.43,-0.922,-2.070,7656.44,2.4,ok,
alu32,datapath,alu32,balanced_resyn2x,0,1985,10715.28,-2.429,-17.918,9099.93,2.6,ok,
alu32,datapath,alu32,area_max,0,1985,10830.39,-2.862,-28.902,9540.73,2.7,ok,
alu32,datapath,alu32,delay_iter_heavy,0,2001,10636.45,-1.628,-5.097,8260.44,2.8,ok,
alu32,datapath,alu32,delay_aggressive,0,2001,10844.15,-2.724,-27.100,9314.20,3.4,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3,0,1165,9207.58,-0.150,-0.374,7764.32,0.6,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep,0,1166,9121.25,-0.186,-0.357,7845.64,0.6,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_bb,0,1165,8928.56,-1.553,-9.306,9026.89,0.7,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v2,0,1166,9158.78,-0.150,-0.261,7815.30,0.7,ok,
mul16_pipe,datapath,mul16_pipe,yosys_default,0,1203,8934.82,-2.995,-21.463,10516.21,0.6,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v4,0,1174,9390.26,-0.778,-3.632,8249.65,0.7,ok,
mul16_pipe,datapath,mul16_pipe,orfs_speed,0,1166,9125.00,-0.127,-0.327,7869.86,0.8,ok,
mul16_pipe,datapath,mul16_pipe,balanced_resyn,0,1200,9042.42,-0.249,-0.353,7908.92,0.8,ok,
mul16_pipe,datapath,mul16_pipe,area_safe,0,1220,9042.42,-2.914,-20.801,10487.14,1.0,ok,
mul16_pipe,datapath,mul16_pipe,area_classic,0,1215,8999.88,-3.085,-25.648,10577.32,1.0,ok,
mul16_pipe,datapath,mul16_pipe,area_lut6,0,1215,9083.71,-3.383,-27.974,10627.32,1.1,ok,
mul16_pipe,datapath,mul16_pipe,delay_triple,1,1160,9173.80,0.041,0.000,7753.30,1.2,ok,
mul16_pipe,datapath,mul16_pipe,balanced_resyn2x,0,1197,9182.56,-0.072,-0.115,7706.80,1.5,ok,
mul16_pipe,datapath,mul16_pipe,delay_iter_heavy,0,1170,9250.12,-0.028,-0.047,7755.07,1.5,ok,
mul16_pipe,datapath,mul16_pipe,area_max,0,1188,9132.51,-3.252,-26.157,10794.67,1.7,ok,
mul16_pipe,datapath,mul16_pipe,delay_aggressive,0,1200,9067.45,-2.767,-20.326,10259.45,2.2,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3,0,4890,33195.59,-4.991,-24.181,12348.13,2.6,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_bb,0,4994,33151.80,-5.995,-51.852,13257.70,2.8,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v4,0,5026,33362.00,-5.947,-54.652,13386.69,2.8,ok,
mul32_mac,datapath,mul32_mac,yosys_default,0,4990,32864.02,-12.527,-169.107,19543.44,2.8,ok,
mul32_mac,datapath,mul32_mac,orfs_speed,0,4872,33160.55,-4.940,-20.284,12532.27,2.8,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep,1,4872,33111.76,-4.844,-19.479,12372.85,3.0,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v2,0,4872,33111.76,-4.844,-19.479,12372.85,3.2,ok,
mul32_mac,datapath,mul32_mac,balanced_resyn,0,5070,32996.65,-5.416,-30.180,12866.78,3.8,ok,
mul32_mac,datapath,mul32_mac,area_safe,0,5067,32780.19,-12.918,-178.940,20147.15,4.1,ok,
mul32_mac,datapath,mul32_mac,area_classic,0,5093,32841.50,-12.122,-158.737,19354.22,4.4,ok,
mul32_mac,datapath,mul32_mac,area_lut6,0,4935,32797.71,-12.540,-170.860,19594.47,5.1,ok,
mul32_mac,datapath,mul32_mac,delay_triple,0,5000,33140.53,-5.145,-29.771,12659.23,5.3,ok,
