design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error
alu32,datapath,alu32,yosys_default,0,2071,11103.15,-1.729,-23.829,8422.22,1.2,ok,
alu32,datapath,alu32,orfs_speed,0,2034,10851.66,-1.259,-3.202,7745.79,1.3,ok,
alu32,datapath,alu32,delay_choice_deep_v3,0,2087,11021.82,-1.420,-12.938,8348.14,1.4,ok,
alu32,datapath,alu32,delay_choice_deep,0,2034,10874.18,-1.282,-3.164,7708.82,1.4,ok,
alu32,datapath,alu32,delay_choice_deep_v4,1,2006,11164.46,-0.606,-1.279,7382.59,1.4,ok,
alu32,datapath,alu32,delay_choice_deep_bb,0,2043,11104.40,-0.901,-3.146,7847.47,1.4,ok,
alu32,datapath,alu32,delay_choice_deep_v2,0,2034,10914.22,-0.893,-1.694,7674.31,1.5,ok,
alu32,datapath,alu32,area_safe,0,2045,10955.51,-2.179,-25.240,8990.65,1.6,ok,
alu32,datapath,alu32,balanced_resyn,0,2019,10777.84,-1.583,-8.062,8395.62,1.7,ok,
alu32,datapath,alu32,area_classic,0,2030,11153.20,-2.863,-30.780,9668.64,1.7,ok,
alu32,datapath,alu32,area_lut6,0,2051,11010.56,-2.235,-26.859,9005.64,1.8,ok,
alu32,datapath,alu32,delay_triple,0,1969,10696.51,-1.108,-8.570,8105.05,2.3,ok,
alu32,datapath,alu32,area_max,0,1994,10829.14,-3.134,-34.517,9617.33,2.6,ok,
alu32,datapath,alu32,balanced_resyn2x,0,1995,10717.78,-1.957,-18.922,8621.04,2.6,ok,
alu32,datapath,alu32,delay_iter_heavy,0,1969,10809.12,-0.944,-6.364,7975.55,2.7,ok,
alu32,datapath,alu32,delay_aggressive,0,2016,10924.23,-2.749,-27.444,9349.34,3.5,ok,
mul16_pipe,datapath,mul16_pipe,yosys_default,0,1906,12523.26,-2.946,-18.622,10605.16,1.1,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep,0,1864,12730.96,-0.444,-0.653,7915.53,1.3,ok,
mul16_pipe,datapath,mul16_pipe,orfs_speed,0,1864,12730.96,-0.444,-0.653,7915.53,1.3,ok,
mul16_pipe,datapath,mul16_pipe,balanced_resyn,0,1885,12745.97,-0.415,-0.784,7949.67,1.4,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_bb,1,1926,13261.47,-0.219,-0.509,7838.18,1.4,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v2,0,1864,12730.96,-0.444,-0.653,7915.53,1.4,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3,0,1872,12872.35,-0.509,-1.166,8010.54,1.5,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v4,0,1924,13336.54,-0.242,-0.469,7884.68,1.5,ok,
mul16_pipe,datapath,mul16_pipe,area_lut6,0,1851,12298.04,-2.845,-16.608,10445.09,1.6,ok,
mul16_pipe,datapath,mul16_pipe,area_safe,0,1857,12329.32,-3.176,-21.242,10777.24,1.6,ok,
mul16_pipe,datapath,mul16_pipe,area_classic,0,1848,12345.59,-3.105,-22.149,10527.29,1.7,ok,
mul16_pipe,datapath,mul16_pipe,balanced_resyn2x,0,1864,12562.05,-0.282,-1.292,7942.75,2.2,ok,
mul16_pipe,datapath,mul16_pipe,delay_triple,0,1879,12557.04,-0.447,-1.250,8034.59,2.4,ok,
mul16_pipe,datapath,mul16_pipe,area_max,0,1869,12265.51,-3.586,-25.992,11236.29,2.5,ok,
mul16_pipe,datapath,mul16_pipe,delay_iter_heavy,0,1899,12812.29,-0.708,-3.105,8165.31,2.8,ok,
mul16_pipe,datapath,mul16_pipe,delay_aggressive,0,1877,12434.43,-2.901,-16.121,10114.62,3.2,ok,
mul32_mac,datapath,mul32_mac,yosys_default,0,6743,39859.48,-8.006,-81.962,15307.22,2.7,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3,0,6499,40536.38,-2.084,-2.084,9691.06,3.2,ok,
mul32_mac,datapath,mul32_mac,orfs_speed,0,6505,40651.49,-2.164,-2.164,9649.55,3.3,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep,0,6505,40651.49,-2.164,-2.164,9649.55,3.6,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v4,0,6256,39693.07,-2.631,-2.631,10285.90,3.7,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v2,0,6505,40651.49,-2.164,-2.164,9649.55,3.8,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_bb,0,6236,39899.52,-2.320,-2.320,10043.48,3.8,ok,
mul32_mac,datapath,mul32_mac,balanced_resyn,0,6529,40278.63,-2.409,-2.409,9765.94,4.5,ok,
mul32_mac,datapath,mul32_mac,area_safe,0,6468,38864.77,-7.759,-77.326,15076.92,4.6,ok,
mul32_mac,datapath,mul32_mac,area_classic,0,6429,38705.87,-12.128,-163.804,19122.34,4.8,ok,
mul32_mac,datapath,mul32_mac,area_lut6,0,6409,38687.10,-10.791,-135.770,17913.98,4.9,ok,
mul32_mac,datapath,mul32_mac,delay_triple,1,6632,40819.15,-1.968,-1.968,9672.63,6.9,ok,
mul32_mac,datapath,mul32_mac,balanced_resyn2x,0,6573,40259.86,-2.095,-2.095,9771.86,6.9,ok,
mul32_mac,datapath,mul32_mac,area_max,0,6642,39361.50,-13.542,-186.548,20498.98,7.2,ok,
mul32_mac,datapath,mul32_mac,delay_iter_heavy,0,6673,40834.16,-2.097,-2.097,9830.82,8.4,ok,
mul32_mac,datapath,mul32_mac,delay_aggressive,0,6538,38824.74,-12.559,-162.409,19535.93,9.4,ok,
fir8,dsp,fir8,delay_choice_deep_v3,1,1774,13734.42,0.374,0.000,10375.12,0.9,ok,
fir8,dsp,fir8,yosys_default,0,1701,13060.03,-1.302,-6.280,11782.50,0.9,ok,
fir8,dsp,fir8,orfs_speed,0,1738,13466.67,0.121,0.000,10425.06,1.0,ok,
fir8,dsp,fir8,delay_choice_deep_v4,0,1830,13964.64,0.293,0.000,10437.60,1.0,ok,
fir8,dsp,fir8,delay_choice_deep_bb,0,1823,13855.79,0.090,0.000,10374.86,1.1,ok,
fir8,dsp,fir8,delay_choice_deep_v2,0,1738,13466.67,0.121,0.000,10425.06,1.1,ok,
fir8,dsp,fir8,balanced_resyn,0,1759,13615.56,-0.001,-0.001,10277.53,1.2,ok,
fir8,dsp,fir8,area_safe,0,1659,12942.41,-1.470,-7.121,11957.93,1.4,ok,
fir8,dsp,fir8,area_classic,0,1698,12991.21,-1.432,-6.572,12069.27,1.4,ok,
fir8,dsp,fir8,delay_choice_deep,0,1738,13466.67,0.121,0.000,10425.06,1.5,ok,
fir8,dsp,fir8,area_lut6,0,1672,12852.33,-1.358,-6.583,11576.77,1.5,ok,
fir8,dsp,fir8,delay_triple,0,1736,13186.40,-0.178,-0.475,11034.61,1.6,ok,
fir8,dsp,fir8,balanced_resyn2x,0,1652,13098.81,0.016,0.000,10372.86,1.9,ok,
fir8,dsp,fir8,delay_iter_heavy,0,1737,13243.95,0.347,0.000,10187.56,2.1,ok,
fir8,dsp,fir8,area_max,0,1621,12625.86,-1.226,-5.427,11834.17,2.2,ok,
fir8,dsp,fir8,delay_aggressive,0,1619,12702.18,-0.971,-3.700,11373.87,2.7,ok,
aes_round,crypto,aes_round,yosys_default,0,9447,53550.11,1.170,0.000,5047.02,4.6,ok,
aes_round,crypto,aes_round,delay_choice_deep_v3,0,9563,57296.20,1.397,0.000,4991.75,4.8,ok,
aes_round,crypto,aes_round,orfs_speed,0,9666,55918.63,1.265,0.000,5190.01,4.9,ok,
aes_round,crypto,aes_round,delay_choice_deep,0,9666,55986.20,1.272,0.000,5160.23,4.9,ok,
aes_round,crypto,aes_round,delay_choice_deep_bb,0,9440,55429.41,1.047,0.000,5125.37,5.0,ok,
aes_round,crypto,aes_round,delay_choice_deep_v4,0,9477,55151.64,1.010,0.000,5205.92,5.1,ok,
aes_round,crypto,aes_round,delay_choice_deep_v2,0,9666,55986.20,1.272,0.000,5160.23,5.5,ok,
aes_round,crypto,aes_round,balanced_resyn,0,9626,52540.39,1.350,0.000,5022.35,6.0,ok,
aes_round,crypto,aes_round,area_classic,0,9273,49650.12,1.001,0.000,5443.96,6.1,ok,
aes_round,crypto,aes_round,area_safe,0,9577,53219.79,1.357,0.000,5003.80,6.7,ok,
aes_round,crypto,aes_round,area_lut6,0,9562,51007.67,0.972,0.000,5240.92,7.2,ok,
aes_round,crypto,aes_round,balanced_resyn2x,1,9475,53537.60,1.422,0.000,4947.16,8.7,ok,
aes_round,crypto,aes_round,delay_triple,0,9486,53426.24,1.251,0.000,4986.31,9.4,ok,
aes_round,crypto,aes_round,area_max,0,9237,51076.49,1.392,0.000,4996.23,9.8,ok,
aes_round,crypto,aes_round,delay_iter_heavy,0,9484,54144.43,1.384,0.000,4917.86,11.0,ok,
aes_round,crypto,aes_round,delay_aggressive,0,9359,51421.82,1.374,0.000,4982.58,13.2,ok,
sha256_core,crypto,sha256_core,yosys_default,0,8383,66170.96,-3.136,-57.297,14645.93,3.3,ok,
sha256_core,crypto,sha256_core,delay_choice_deep_v3,0,9033,69103.78,-0.182,-0.359,11582.30,3.5,ok,
sha256_core,crypto,sha256_core,delay_choice_deep_bb,0,8694,67796.27,0.025,0.000,11352.73,3.5,ok,
sha256_core,crypto,sha256_core,orfs_speed,0,8954,68385.59,-0.131,-0.402,11584.44,3.5,ok,
sha256_core,crypto,sha256_core,delay_choice_deep,0,8954,68378.08,-0.131,-0.402,11584.44,3.7,ok,
sha256_core,crypto,sha256_core,delay_choice_deep_v4,0,8798,68849.78,-0.222,-0.364,11422.29,3.8,ok,
sha256_core,crypto,sha256_core,delay_choice_deep_v2,0,8954,68331.79,-0.179,-0.419,11567.09,4.0,ok,
sha256_core,crypto,sha256_core,area_safe,0,8024,65286.36,-3.081,-68.647,14641.59,4.5,ok,
sha256_core,crypto,sha256_core,balanced_resyn,1,8870,67983.95,0.210,0.000,11359.61,4.7,ok,
sha256_core,crypto,sha256_core,area_classic,0,8107,65056.14,-2.860,-48.280,14535.58,4.8,ok,
sha256_core,crypto,sha256_core,area_lut6,0,8082,64623.23,-3.107,-57.486,14615.98,4.9,ok,
sha256_core,crypto,sha256_core,delay_triple,0,8389,66907.92,-0.200,-0.280,11588.45,6.5,ok,
sha256_core,crypto,sha256_core,balanced_resyn2x,0,8796,67100.60,-0.141,-0.257,11522.05,6.6,ok,
sha256_core,crypto,sha256_core,area_max,0,8081,64011.39,-2.919,-60.422,14336.36,7.6,ok,
sha256_core,crypto,sha256_core,delay_iter_heavy,0,8382,66182.22,0.116,0.000,11680.08,7.7,ok,
sha256_core,crypto,sha256_core,delay_aggressive,0,8055,64325.44,-2.636,-41.200,14165.45,8.8,ok,
crc32_8,logic,crc32_8,delay_choice_deep_v4,0,180,2088.25,-0.359,-1.839,3316.03,0.2,ok,
crc32_8,logic,crc32_8,delay_choice_deep,0,198,2250.91,-0.131,-0.877,3135.59,0.2,ok,
crc32_8,logic,crc32_8,delay_choice_deep_v3,0,198,2253.41,-0.146,-0.347,2961.02,0.2,ok,
crc32_8,logic,crc32_8,balanced_resyn,0,231,2140.80,-0.242,-0.797,3120.19,0.2,ok,
crc32_8,logic,crc32_8,delay_choice_deep_bb,0,182,2149.56,-0.304,-1.648,3186.79,0.2,ok,
crc32_8,logic,crc32_8,delay_choice_deep_v2,0,198,2250.91,-0.131,-0.877,3135.59,0.2,ok,
crc32_8,logic,crc32_8,area_safe,0,249,2304.71,-0.243,-0.825,3134.70,0.2,ok,
crc32_8,logic,crc32_8,area_classic,0,247,2208.37,-0.175,-0.783,3122.14,0.2,ok,
crc32_8,logic,crc32_8,orfs_speed,0,198,2250.91,-0.131,-0.877,3135.59,0.2,ok,
crc32_8,logic,crc32_8,delay_triple,1,220,2153.32,-0.030,-0.056,3004.45,0.3,ok,
crc32_8,logic,crc32_8,balanced_resyn2x,0,227,2152.06,-0.329,-0.549,3100.71,0.3,ok,
crc32_8,logic,crc32_8,area_lut6,0,244,2148.31,-0.202,-0.670,3191.21,0.3,ok,
crc32_8,logic,crc32_8,yosys_default,0,220,2157.07,-0.234,-0.519,3175.36,0.3,ok,
crc32_8,logic,crc32_8,delay_iter_heavy,0,220,2164.58,-0.142,-0.368,3024.11,0.3,ok,
crc32_8,logic,crc32_8,area_max,0,239,2250.91,-0.267,-0.753,3031.39,0.3,ok,
crc32_8,logic,crc32_8,delay_aggressive,0,234,2145.81,-0.309,-1.104,3116.22,0.4,ok,
rr_arbiter16,logic,rr_arbiter16,delay_choice_deep_bb,0,379,3015.39,-0.688,-4.314,4988.13,0.3,ok,
rr_arbiter16,logic,rr_arbiter16,delay_choice_deep_v4,0,379,3015.39,-0.688,-4.314,4988.13,0.3,ok,
rr_arbiter16,logic,rr_arbiter16,delay_choice_deep_v3,1,393,3065.44,-0.430,-4.196,4809.73,0.3,ok,
rr_arbiter16,logic,rr_arbiter16,balanced_resyn,0,403,3050.43,-0.611,-3.239,4919.13,0.3,ok,
rr_arbiter16,logic,rr_arbiter16,delay_choice_deep,0,405,3051.68,-0.723,-6.382,5286.14,0.3,ok,
rr_arbiter16,logic,rr_arbiter16,yosys_default,0,387,2951.58,-0.466,-1.704,5002.39,0.3,ok,
rr_arbiter16,logic,rr_arbiter16,area_safe,0,387,3039.16,-0.479,-1.261,4870.92,0.3,ok,
rr_arbiter16,logic,rr_arbiter16,orfs_speed,0,405,3051.68,-0.723,-6.382,5286.14,0.3,ok,
rr_arbiter16,logic,rr_arbiter16,area_classic,0,389,3123.00,-0.513,-6.246,5016.10,0.3,ok,
rr_arbiter16,logic,rr_arbiter16,delay_choice_deep_v2,0,405,3051.68,-0.723,-6.382,5286.14,0.4,ok,
rr_arbiter16,logic,rr_arbiter16,area_lut6,0,404,2989.12,-0.983,-12.796,5232.68,0.4,ok,
rr_arbiter16,logic,rr_arbiter16,balanced_resyn2x,0,406,2991.62,-0.831,-6.071,5128.38,0.5,ok,
rr_arbiter16,logic,rr_arbiter16,area_max,0,382,3052.93,-0.893,-12.558,5191.48,0.6,ok,
rr_arbiter16,logic,rr_arbiter16,delay_triple,0,387,3044.17,-0.653,-7.099,5121.29,0.6,ok,
rr_arbiter16,logic,rr_arbiter16,delay_iter_heavy,0,389,2915.30,-0.867,-9.361,5252.57,0.6,ok,
rr_arbiter16,logic,rr_arbiter16,delay_aggressive,0,395,2870.25,-0.694,-7.449,5291.87,0.8,ok,
uart,control,uart,delay_choice_deep_bb,0,369,3458.32,-1.546,-8.875,4453.62,0.3,ok,
uart,control,uart,balanced_resyn,0,402,3798.64,-0.069,-0.522,2632.13,0.3,ok,
uart,control,uart,delay_choice_deep_v4,0,387,4022.61,0.187,0.000,2436.93,0.3,ok,
uart,control,uart,yosys_default,0,381,3490.85,-1.461,-5.591,4270.83,0.3,ok,
uart,control,uart,area_classic,0,368,3375.74,-1.165,-10.703,4003.88,0.3,ok,
uart,control,uart,delay_choice_deep_v3,1,398,3888.73,0.229,0.000,2390.58,0.3,ok,
