design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2
alu32,datapath,alu32,delay_choice_deep_v3,0,2051,11124.42,-1.753,-8.024,8391.89,1.0,ok,,,,
alu32,datapath,alu32,delay_syn2@opt_dff_sat,0,2038,11644.92,-1.227,-2.173,7585.55,1.0,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v3@opt_full,0,2051,11124.42,-1.753,-8.024,8391.89,1.0,ok,,,,
alu32,datapath,alu32,delay_map,1,2454,11901.41,0.723,0.000,6432.42,1.1,ok,,0.723,0.000,
alu32,datapath,alu32,delay_map@opt_dff_sat,0,2454,11901.41,0.723,0.000,6432.42,1.1,ok,,,,
alu32,datapath,alu32,delay_map@opt_full,0,2454,11901.41,0.723,0.000,6432.42,1.1,ok,,,,
alu32,datapath,alu32,delay_syn2,0,2038,11644.92,-1.227,-2.173,7585.55,1.1,ok,,,,
alu32,datapath,alu32,delay_map@noshare,0,2845,13474.17,0.669,0.000,6472.96,1.0,ok,,,,
alu32,datapath,alu32,delay_syn2@opt_full,0,2038,11644.92,-1.227,-2.173,7585.55,1.1,ok,,,,
alu32,datapath,alu32,orfs_area,0,2139,12732.21,-0.485,-0.589,6812.25,1.2,ok,,,,
alu32,datapath,alu32,orfs_area@opt_dff_sat,0,2139,12732.21,-0.485,-0.589,6812.25,1.1,ok,,,,
alu32,datapath,alu32,orfs_area@opt_full,0,2139,12732.21,-0.485,-0.589,6812.25,1.1,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v3@opt_dff_sat,0,2051,11124.42,-1.753,-8.024,8391.89,1.2,ok,,,,
alu32,datapath,alu32,delay_map_resyn,0,2258,11074.37,-1.268,-6.169,8202.29,1.2,ok,,,,
alu32,datapath,alu32,delay_map_resyn@opt_full,0,2258,11074.37,-1.268,-6.169,8202.29,1.2,ok,,,,
alu32,datapath,alu32,orfs_area@noshare,0,2568,14362.52,-0.167,-0.465,6822.13,1.2,ok,,,,
