design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error
alu32,datapath,alu32,yosys_default,0,2053,10999.30,-2.499,-27.162,9020.77,0.9,ok,
alu32,datapath,alu32,delay_choice_deep_v3,0,2095,11030.58,-1.788,-14.325,8692.93,0.9,ok,
alu32,datapath,alu32,orfs_speed,0,2045,10900.45,-1.808,-15.178,8785.92,0.9,ok,
alu32,datapath,alu32,delay_choice_deep_bb,0,2018,10968.02,-0.869,-0.906,7583.41,0.9,ok,
alu32,datapath,alu32,delay_choice_deep_v4,0,2030,11041.84,-0.858,-1.177,7457.09,0.9,ok,
alu32,datapath,alu32,delay_choice_deep_v2,0,2045,10821.63,-1.702,-15.633,8686.55,1.0,ok,
alu32,datapath,alu32,delay_choice_deep,0,2045,10821.63,-1.702,-15.633,8686.55,1.0,ok,
alu32,datapath,alu32,area_safe,0,2031,11051.85,-1.796,-15.161,8438.57,1.1,ok,
alu32,datapath,alu32,balanced_resyn,0,1978,10770.33,-2.076,-16.535,8789.65,1.1,ok,
alu32,datapath,alu32,area_classic,0,2053,10800.36,-2.635,-30.486,9404.15,1.2,ok,
alu32,datapath,alu32,area_lut6,0,2021,10941.74,-2.535,-24.494,9176.34,1.3,ok,
alu32,datapath,alu32,delay_triple,1,2038,10821.63,-0.755,-2.412,7534.32,1.5,ok,
alu32,datapath,alu32,balanced_resyn2x,0,1939,10780.34,-3.076,-27.607,9637.83,1.6,ok,
alu32,datapath,alu32,area_max,0,1978,11003.05,-2.735,-29.404,9428.44,1.7,ok,
alu32,datapath,alu32,delay_iter_heavy,0,2061,10961.76,-0.777,-2.675,7510.79,1.7,ok,
alu32,datapath,alu32,delay_aggressive,0,1997,10894.20,-3.019,-28.900,9587.29,2.2,ok,
mul16_pipe,datapath,mul16_pipe,yosys_default,0,1918,12525.76,-2.878,-22.695,10220.66,0.7,ok,
