design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error
alu32,datapath,alu32,delay_choice_deep_v3,0,1754,10714.03,-2.469,-15.985,9357.24,0.9,ok,
alu32,datapath,alu32,yosys_default,0,1811,10887.94,-3.762,-37.857,10139.19,0.9,ok,
alu32,datapath,alu32,orfs_speed,0,1743,10751.56,-4.990,-31.690,11939.33,0.9,ok,
alu32,datapath,alu32,delay_choice_deep,0,1743,10750.31,-4.990,-31.690,11939.33,1.0,ok,
alu32,datapath,alu32,delay_choice_deep_bb,0,1673,11245.79,-2.856,-18.619,9567.33,1.0,ok,
alu32,datapath,alu32,delay_choice_deep_v4,0,1651,11000.55,-1.696,-9.476,8768.42,1.0,ok,
alu32,datapath,alu32,delay_choice_deep_v2,0,1743,10750.31,-4.990,-31.690,11939.33,1.0,ok,
alu32,datapath,alu32,area_classic,0,1782,11003.05,-4.006,-42.593,10713.41,1.1,ok,
alu32,datapath,alu32,area_safe,0,1740,10870.43,-2.829,-28.456,9796.21,1.2,ok,
alu32,datapath,alu32,area_lut6,0,1740,10515.08,-4.904,-58.700,11959.09,1.2,ok,
alu32,datapath,alu32,balanced_resyn,0,1734,10606.42,-4.098,-43.860,10890.44,1.2,ok,
alu32,datapath,alu32,delay_triple,0,1661,10941.74,-1.020,-3.485,7911.04,1.6,ok,
alu32,datapath,alu32,balanced_resyn2x,0,1731,10482.55,-2.183,-15.780,8999.59,1.6,ok,
alu32,datapath,alu32,area_max,0,1757,10588.91,-2.646,-24.010,9639.80,1.7,ok,
alu32,datapath,alu32,delay_iter_heavy,1,1661,10542.61,-0.880,-2.815,8003.25,1.9,ok,
alu32,datapath,alu32,delay_aggressive,0,1725,10570.14,-2.608,-22.896,9395.11,2.3,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3,0,1468,13475.42,-1.813,-12.152,8936.85,0.6,ok,
mul16_pipe,datapath,mul16_pipe,yosys_default,0,1638,12498.24,-4.079,-35.427,11628.15,0.6,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep,0,1467,13414.12,-1.310,-8.074,8744.18,0.6,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_bb,0,1486,13322.78,-2.583,-20.032,9510.33,0.6,ok,
mul16_pipe,datapath,mul16_pipe,orfs_speed,0,1467,13359.06,-1.334,-5.992,8777.41,0.6,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v2,0,1467,13414.12,-1.310,-8.074,8744.18,0.7,ok,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v4,0,1487,13360.31,-2.851,-17.846,10022.90,0.7,ok,
mul16_pipe,datapath,mul16_pipe,area_classic,0,1543,12954.92,-3.248,-24.031,10707.01,0.9,ok,
mul16_pipe,datapath,mul16_pipe,balanced_resyn,0,1396,13751.94,-1.887,-12.226,8946.63,0.9,ok,
mul16_pipe,datapath,mul16_pipe,area_safe,0,1641,12320.57,-4.353,-35.162,11748.66,0.9,ok,
mul16_pipe,datapath,mul16_pipe,area_lut6,0,1648,12371.87,-4.683,-44.090,12033.70,1.0,ok,
mul16_pipe,datapath,mul16_pipe,delay_triple,0,1613,13466.67,-1.335,-9.206,8663.33,1.3,ok,
mul16_pipe,datapath,mul16_pipe,balanced_resyn2x,0,1600,13995.92,-1.558,-9.685,9070.30,1.4,ok,
mul16_pipe,datapath,mul16_pipe,area_max,0,1671,12906.13,-3.972,-34.468,11390.64,1.5,ok,
mul16_pipe,datapath,mul16_pipe,delay_iter_heavy,1,1632,13429.13,-1.265,-10.231,8626.13,1.6,ok,
mul16_pipe,datapath,mul16_pipe,delay_aggressive,0,1696,12929.90,-5.947,-39.178,12800.90,2.1,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3,0,5196,43560.53,-3.942,-5.110,11312.16,1.5,ok,
mul32_mac,datapath,mul32_mac,yosys_default,0,5847,39840.71,-6.595,-89.001,14252.47,1.5,ok,
mul32_mac,datapath,mul32_mac,orfs_speed,1,5192,43631.85,-3.614,-4.563,11338.26,1.7,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_bb,0,5042,44427.61,-5.788,-38.258,13216.01,1.7,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v4,0,5098,44589.01,-6.128,-30.987,13185.88,1.8,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep,0,5192,43389.11,-3.752,-4.707,11216.48,1.9,ok,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v2,0,5192,43389.11,-3.752,-4.707,11216.48,1.9,ok,
mul32_mac,datapath,mul32_mac,balanced_resyn,0,4861,44375.06,-5.114,-14.889,12035.39,2.3,ok,
mul32_mac,datapath,mul32_mac,area_classic,0,5718,40154.76,-14.198,-215.874,21059.95,2.7,ok,
mul32_mac,datapath,mul32_mac,area_lut6,0,5837,39012.42,-10.993,-182.006,18215.35,2.9,ok,
mul32_mac,datapath,mul32_mac,area_safe,0,5886,39251.40,-8.713,-129.343,16167.79,3.0,ok,
mul32_mac,datapath,mul32_mac,balanced_resyn2x,0,5418,44858.02,-4.001,-6.516,11409.52,4.0,ok,
mul32_mac,datapath,mul32_mac,delay_triple,0,5475,44408.84,-4.301,-5.432,11151.55,4.2,ok,
mul32_mac,datapath,mul32_mac,delay_iter_heavy,0,5467,44516.44,-4.512,-10.119,11967.05,5.2,ok,
mul32_mac,datapath,mul32_mac,area_max,0,5903,40218.57,-13.634,-201.542,20532.19,5.2,ok,
mul32_mac,datapath,mul32_mac,delay_aggressive,0,6146,40266.12,-13.841,-201.045,20952.93,7.3,ok,
fir8,dsp,fir8,delay_choice_deep_v3,0,1454,13766.95,-0.712,-3.624,10870.64,0.6,ok,
fir8,dsp,fir8,orfs_speed,0,1473,13574.27,-0.510,-2.922,11061.86,0.6,ok,
fir8,dsp,fir8,yosys_default,0,1462,13660.60,-3.752,-31.372,14093.35,0.6,ok,
fir8,dsp,fir8,delay_choice_deep,0,1473,13655.60,-0.558,-3.037,10874.91,0.6,ok,
fir8,dsp,fir8,delay_choice_deep_v2,0,1473,13721.91,-0.398,-1.459,10866.77,0.7,ok,
fir8,dsp,fir8,delay_choice_deep_bb,0,1539,14112.28,-0.657,-3.490,11005.08,0.7,ok,
fir8,dsp,fir8,delay_choice_deep_v4,0,1574,14664.06,-1.070,-7.665,10955.06,0.7,ok,
fir8,dsp,fir8,balanced_resyn,0,1366,13786.97,-1.512,-9.600,11506.22,0.8,ok,
fir8,dsp,fir8,area_safe,0,1400,13246.45,-2.163,-12.926,12208.59,0.8,ok,
fir8,dsp,fir8,area_lut6,0,1394,13186.40,-2.036,-12.005,12196.94,0.9,ok,
fir8,dsp,fir8,area_classic,0,1411,13247.71,-2.756,-17.551,13575.58,0.9,ok,
fir8,dsp,fir8,delay_triple,0,1492,13681.87,-1.384,-6.498,11535.87,1.1,ok,
fir8,dsp,fir8,balanced_resyn2x,0,1485,13370.32,-1.256,-7.532,11453.71,1.2,ok,
fir8,dsp,fir8,area_max,0,1502,12944.92,-2.196,-15.161,12601.64,1.3,ok,
fir8,dsp,fir8,delay_iter_heavy,1,1482,13669.36,0.025,0.000,10189.94,1.4,ok,
fir8,dsp,fir8,delay_aggressive,0,1503,12923.64,-1.137,-5.060,11574.90,1.8,ok,
aes_round,crypto,aes_round,orfs_speed,0,8256,53093.42,0.420,0.000,5910.55,3.4,ok,
aes_round,crypto,aes_round,yosys_default,0,8095,53845.39,0.582,0.000,5527.25,3.4,ok,
aes_round,crypto,aes_round,delay_choice_deep_v3,0,7972,55619.59,-0.431,-1.364,6592.14,3.4,ok,
aes_round,crypto,aes_round,delay_choice_deep,0,8256,53124.70,0.449,0.000,5881.49,3.6,ok,
aes_round,crypto,aes_round,delay_choice_deep_v4,0,8125,54906.41,0.521,0.000,5814.48,3.6,ok,
aes_round,crypto,aes_round,delay_choice_deep_bb,0,8103,54337.11,0.788,0.000,5446.33,3.8,ok,
aes_round,crypto,aes_round,delay_choice_deep_v2,0,8256,53124.70,0.449,0.000,5881.49,4.0,ok,
aes_round,crypto,aes_round,balanced_resyn,0,7908,51598.24,0.714,0.000,5489.98,4.1,ok,
aes_round,crypto,aes_round,area_safe,0,8066,52491.59,0.734,0.000,5540.29,4.4,ok,
aes_round,crypto,aes_round,area_classic,0,7831,51678.31,0.380,0.000,5654.67,4.5,ok,
aes_round,crypto,aes_round,area_lut6,0,8020,53277.35,0.848,0.000,5327.20,5.0,ok,
aes_round,crypto,aes_round,balanced_resyn2x,0,7895,51668.30,0.797,0.000,5619.15,6.6,ok,
aes_round,crypto,aes_round,delay_triple,0,7992,52973.31,0.829,0.000,5311.28,6.9,ok,
aes_round,crypto,aes_round,area_max,0,7735,51325.48,0.731,0.000,5487.98,7.4,ok,
