design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2,leakage_uw_before,leakage_uw_after,lib_mix_before,lib_mix_after
alu32,datapath,alu32,delay_choice_deep_v3,0,1704,26936.24,-16.328,-328.849,21909.20,0.6,ok,,,,,,,,
alu32,datapath,alu32,delay_map,0,2338,29579.46,-9.527,-217.554,13545.86,0.8,ok,,,,,,,,
alu32,datapath,alu32,orfs_area,1,1763,28706.20,-11.041,-272.439,16238.15,0.8,ok,,-10.605,-251.055,28842.95,118.63,118.63,hvl:1763,hvl:1763
alu32,datapath,alu32,delay_map_resyn,0,2025,26248.57,-11.881,-248.699,17625.93,1.0,ok,,,,,,,,
alu32,datapath,alu32,delay_syn2,0,1710,26842.46,-12.231,-270.408,17664.35,0.6,ok,,,,,,,,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3,0,1939,31380.68,-12.553,-218.692,17729.77,0.4,ok,,,,,,,,
mul16_pipe,datapath,mul16_pipe,delay_map,0,3566,47138.41,-7.487,-157.633,12830.21,0.6,ok,,,,,,,,
mul16_pipe,datapath,mul16_pipe,delay_map_resyn,0,3132,41263.94,-7.324,-152.422,13613.46,0.7,ok,,,,,,,,
mul16_pipe,datapath,mul16_pipe,orfs_area,1,2056,33642.95,-10.742,-198.036,16045.72,0.7,ok,,-10.639,-196.669,33760.16,223.70,223.70,hvl:2056,hvl:2056
mul16_pipe,datapath,mul16_pipe,delay_syn2,0,2005,32029.27,-12.781,-220.664,17294.25,0.5,ok,,,,,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3,0,6238,94798.44,-11.412,-295.841,18301.81,1.0,ok,,,,,,,,
mul32_mac,datapath,mul32_mac,delay_map,0,12476,157266.75,-11.439,-324.191,17580.21,1.5,ok,,,,,,,,
mul32_mac,datapath,mul32_mac,orfs_area,0,6924,106207.46,-13.986,-392.114,21022.68,1.8,ok,,,,,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn,1,10904,135872.88,-10.049,-247.547,16463.73,2.0,ok,,-10.015,-247.147,135908.04,216.92,216.92,hvl:10904,hvl:10904
mul32_mac,datapath,mul32_mac,delay_syn2,0,7301,108575.23,-14.995,-546.759,20708.39,1.4,ok,,,,,,,,
fir8,dsp,fir8,delay_choice_deep_v3,0,1692,31515.48,-11.581,-431.256,20566.74,0.4,ok,,,,,,,,
fir8,dsp,fir8,delay_map,0,2967,43115.95,-9.359,-289.134,17875.04,0.5,ok,,,,,,,,
fir8,dsp,fir8,delay_map_resyn,0,2738,39355.27,-8.210,-333.508,16938.80,0.7,ok,,,,,,,,
fir8,dsp,fir8,orfs_area,0,2443,42029.75,-12.330,-422.795,20205.87,0.7,ok,,,,,,,,
fir8,dsp,fir8,delay_syn2,1,2090,36549.90,-10.314,-378.406,18655.16,0.5,ok,,-10.314,-378.107,36559.67,420.29,420.29,hvl:2090,hvl:2090
aes_round,crypto,aes_round,orfs_area,1,10158,144658.22,-10.547,-1312.581,9735.87,2.1,ok,,-9.568,-1209.028,144914.14,433.85,433.85,hvl:10158,hvl:10158
aes_round,crypto,aes_round,delay_choice_deep_v3,0,6848,125485.59,-12.311,-1437.380,12403.61,2.4,ok,,,,,,,,
aes_round,crypto,aes_round,delay_map,0,15008,191591.51,-7.137,-818.657,8339.38,2.9,ok,,,,,,,,
aes_round,crypto,aes_round,delay_map_resyn,0,12824,162992.76,-6.067,-703.278,8093.61,3.2,ok,,,,,,,,
aes_round,crypto,aes_round,delay_syn2,0,9512,135913.91,-11.655,-1458.619,10586.51,2.1,ok,,,,,,,,
sha256_core,crypto,sha256_core,delay_choice_deep_v3,0,8289,164202.03,-28.252,-26246.527,24068.56,1.4,ok,,,,,,,,
sha256_core,crypto,sha256_core,delay_map,0,11062,182989.80,-25.124,-24806.402,20849.22,1.6,ok,,,,,,,,
sha256_core,crypto,sha256_core,orfs_area,0,8913,183769.29,-56.906,-55751.750,23306.29,1.7,ok,,,,,,,,
sha256_core,crypto,sha256_core,delay_map_resyn,1,11059,180432.54,-13.423,-6805.201,23094.04,2.1,ok,,-13.408,-6268.502,180833.03,3536.58,3536.58,hvl:11059,hvl:11059
sha256_core,crypto,sha256_core,delay_syn2,0,8493,164715.83,-17.366,-8287.583,25028.85,1.4,ok,,,,,,,,
