design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2
alu32,datapath,alu32,delay_choice_deep_v3,0,1551,13231.56,-5.568,-111.335,9121.77,1.8,ok,,,,
alu32,datapath,alu32,orfs_area,0,1530,14866.72,-4.539,-72.622,8743.57,2.6,ok,,,,
alu32,datapath,alu32,delay_map_resyn,1,1697,14179.41,-3.220,-45.852,7111.89,2.6,ok,,-3.105,-40.229,14441.54
alu32,datapath,alu32,delay_map,0,2093,16602.58,-1.831,-12.502,5915.30,3.1,ok,,,,
alu32,datapath,alu32,delay_syn2,0,1605,14606.18,-5.318,-107.221,7519.24,1.3,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3,1,1413,17432.15,-2.057,-27.196,8396.41,0.9,ok,,-1.500,-17.404,17454.53
mul16_pipe,datapath,mul16_pipe,orfs_area,0,1549,17906.88,-2.469,-27.317,8792.70,1.1,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map_resyn,0,2494,21709.47,-1.355,-17.892,6637.33,1.5,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map,0,3478,28499.47,-1.252,-14.651,6338.85,1.5,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_syn2,0,1557,17363.42,-4.338,-45.346,10555.57,0.9,ok,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3,0,5068,54220.92,-5.132,-27.037,11100.60,1.6,ok,,,,
mul32_mac,datapath,mul32_mac,orfs_area,0,4778,57762.98,-6.372,-52.837,12594.08,2.1,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn,1,8940,67190.34,-2.554,-2.554,8497.42,3.4,ok,,-2.339,-2.339,67235.10
mul32_mac,datapath,mul32_mac,delay_syn2,0,4959,57804.54,-5.782,-70.708,12677.14,1.7,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map,0,12036,91263.84,-3.986,-3.986,8100.16,3.5,ok,,,,
fir8,dsp,fir8,delay_choice_deep_v3,0,1440,17663.92,-1.849,-13.681,10823.23,0.8,ok,,,,
fir8,dsp,fir8,orfs_area,0,2027,21955.62,-2.675,-25.636,11163.08,1.2,ok,,,,
fir8,dsp,fir8,delay_map_resyn,1,2196,20314.07,0.792,0.000,8804.66,1.2,ok,,0.792,0.000,20314.07
fir8,dsp,fir8,delay_map,0,2850,25128.45,0.900,0.000,8414.96,1.3,ok,,,,
fir8,dsp,fir8,delay_syn2,0,1818,19928.85,-1.562,-11.252,10439.20,0.9,ok,,,,
