design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2
alu32,datapath,alu32,delay_choice_deep_v3,0,1657,13998.79,-4.430,-62.408,8045.63,0.9,ok,,,,
alu32,datapath,alu32,orfs_area,0,1546,15976.01,-5.804,-110.300,8132.55,1.0,ok,,,,
alu32,datapath,alu32,delay_map,0,2189,17376.21,-0.945,-1.125,5215.70,1.4,ok,,,,
alu32,datapath,alu32,delay_map_resyn,1,1934,14837.95,-3.714,-43.642,7523.10,1.5,ok,,-3.398,-33.538,15346.24
alu32,datapath,alu32,delay_syn2,0,1632,15395.79,-4.317,-76.656,6544.18,0.9,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3,0,1406,17259.52,-1.558,-11.387,8237.39,0.6,ok,,,,
mul16_pipe,datapath,mul16_pipe,orfs_area,0,1526,17977.20,-2.420,-23.820,8827.68,0.8,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map_resyn,1,2673,24006.37,-0.391,-2.061,6622.69,1.0,ok,,0.010,0.000,24183.79
mul16_pipe,datapath,mul16_pipe,delay_map,0,3477,30318.45,-1.196,-14.588,6202.94,1.0,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_syn2,0,1529,17858.92,-3.139,-27.724,9227.83,0.7,ok,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3,0,4990,54447.90,-3.869,-3.869,10458.42,1.3,ok,,,,
mul32_mac,datapath,mul32_mac,orfs_area,0,4736,58371.97,-5.612,-30.018,12313.55,2.0,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map,0,12126,97911.59,-3.715,-3.715,8046.21,2.6,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn,1,9147,74165.76,-2.866,-2.866,8728.09,2.7,ok,,-2.680,-2.680,74215.31
mul32_mac,datapath,mul32_mac,delay_syn2,0,4943,57452.89,-4.728,-31.516,11492.85,1.6,ok,,,,
fir8,dsp,fir8,delay_choice_deep_v3,0,1331,17755.03,-1.285,-9.518,10328.36,0.6,ok,,,,
fir8,dsp,fir8,delay_map,0,3066,26306.47,-0.414,-5.804,8326.43,1.0,ok,,,,
fir8,dsp,fir8,delay_map_resyn,1,2431,21794.18,0.105,0.000,8716.54,1.0,ok,,0.105,0.000,21794.18
fir8,dsp,fir8,orfs_area,0,1911,22655.72,-0.979,-5.112,9851.39,1.0,ok,,,,
fir8,dsp,fir8,delay_syn2,0,1758,20441.94,-1.262,-15.993,10150.03,0.7,ok,,,,
aes_round,crypto,aes_round,orfs_area,0,8511,79713.81,-3.701,-429.734,4797.90,2.5,ok,,,,
aes_round,crypto,aes_round,delay_choice_deep_v3,0,7165,71336.59,-2.753,-333.621,5397.77,2.6,ok,,,,
aes_round,crypto,aes_round,delay_map_resyn,1,10852,88725.59,-1.665,-179.197,3954.67,4.3,ok,,-0.869,-85.559,90221.69
aes_round,crypto,aes_round,delay_map,0,11956,99812.09,-1.819,-204.489,3890.69,4.5,ok,,,,
aes_round,crypto,aes_round,delay_syn2,0,8024,74664.46,-6.278,-710.740,4652.77,2.3,ok,,,,
sha256_core,crypto,sha256_core,delay_choice_deep_v3,0,7620,93151.56,-13.960,-12181.141,13050.99,1.7,ok,,,,
sha256_core,crypto,sha256_core,delay_map,0,10261,105069.23,-9.829,-9259.849,9961.53,2.6,ok,,,,
sha256_core,crypto,sha256_core,orfs_area,0,7781,99033.67,-48.086,-42863.637,12697.28,2.8,ok,,,,
sha256_core,crypto,sha256_core,delay_map_resyn,1,10109,101392.91,-0.570,-3.212,10322.18,2.9,ok,,0.125,0.000,101487.21
sha256_core,crypto,sha256_core,delay_syn2,0,7751,94144.16,-4.889,-375.769,13386.19,1.6,ok,,,,
