design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2
alu32,datapath,alu32,delay_choice_deep_v3,0,1657,14054.73,-2.247,-19.256,6416.75,0.8,ok,,,,
alu32,datapath,alu32,orfs_area,0,1546,15988.80,-3.328,-43.325,6637.11,1.0,ok,,,,
alu32,datapath,alu32,delay_map,1,2217,17945.24,0.152,0.000,4489.74,1.4,ok,,0.152,0.000,17945.24
alu32,datapath,alu32,delay_map_resyn,0,1885,15530.05,-1.220,-7.252,6124.49,1.5,ok,,,,
alu32,datapath,alu32,delay_syn2,0,1632,15422.96,-2.224,-18.070,5444.97,0.9,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3,1,1406,17312.27,0.391,0.000,6724.81,0.6,ok,,0.391,0.000,17312.27
mul16_pipe,datapath,mul16_pipe,orfs_area,0,1527,18013.97,-0.106,-0.106,7088.72,0.8,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map,0,3336,29332.24,0.952,0.000,5209.08,1.0,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map_resyn,0,2457,22893.88,1.048,0.000,5509.66,1.1,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_syn2,0,1529,17774.21,-1.022,-2.054,7662.81,0.7,ok,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3,0,4990,54425.52,-1.717,-1.717,8693.82,1.3,ok,,,,
mul32_mac,datapath,mul32_mac,orfs_area,0,4736,58362.38,-3.107,-3.107,10095.83,2.1,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map,0,12011,98795.51,-2.026,-2.026,6698.39,2.5,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn,1,8723,74020.31,-1.180,-1.180,7012.81,2.7,ok,,-1.001,-1.001,74053.87
mul32_mac,datapath,mul32_mac,delay_syn2,0,4943,57444.90,-2.311,-2.311,9553.05,1.6,ok,,,,
fir8,dsp,fir8,delay_choice_deep_v3,1,1331,17860.52,1.198,0.000,8402.22,0.6,ok,,1.198,0.000,17860.52
fir8,dsp,fir8,delay_map_resyn,0,2319,21225.15,2.094,0.000,7572.18,0.9,ok,,,,
fir8,dsp,fir8,orfs_area,0,1911,22606.17,0.866,0.000,8280.40,0.9,ok,,,,
fir8,dsp,fir8,delay_map,0,3001,26183.39,0.656,0.000,6934.98,0.9,ok,,,,
fir8,dsp,fir8,delay_syn2,0,1758,20544.24,0.994,0.000,8401.59,0.7,ok,,,,
aes_round,crypto,aes_round,orfs_area,0,8510,80188.53,-2.115,-224.095,3946.72,2.6,ok,,,,
aes_round,crypto,aes_round,delay_choice_deep_v3,0,7169,71405.32,-1.504,-153.604,4517.29,2.7,ok,,,,
aes_round,crypto,aes_round,delay_map_resyn,1,10985,88859.85,-0.117,-2.886,3270.56,4.2,ok,,0.007,0.000,89056.45
aes_round,crypto,aes_round,delay_map,0,11787,96094.21,-0.293,-11.640,3301.54,4.5,ok,,,,
aes_round,crypto,aes_round,delay_syn2,0,8024,74487.04,-3.810,-455.123,3985.91,2.7,ok,,,,
sha256_core,crypto,sha256_core,delay_choice_deep_v3,0,7620,93199.51,-9.389,-7572.160,10952.11,1.7,ok,,,,
sha256_core,crypto,sha256_core,delay_map,0,10167,104305.19,-5.100,-4497.758,8303.68,2.9,ok,,,,
sha256_core,crypto,sha256_core,orfs_area,0,7780,99052.85,-37.850,-33521.199,10630.57,2.9,ok,,,,
sha256_core,crypto,sha256_core,delay_map_resyn,1,9866,100211.69,1.674,0.000,8488.54,3.0,ok,,1.674,0.000,100211.69
sha256_core,crypto,sha256_core,delay_syn2,0,7751,94132.97,-1.768,-18.614,11146.73,1.7,ok,,,,
crc32_8,logic,crc32_8,orfs_area,0,208,3043.35,-0.284,-0.837,2536.64,0.3,ok,,,,
crc32_8,logic,crc32_8,delay_choice_deep_v3,1,195,3051.35,0.239,0.000,2330.92,0.3,ok,,0.239,0.000,3051.35
crc32_8,logic,crc32_8,delay_map,0,350,4120.68,0.514,0.000,1845.96,0.3,ok,,,,
crc32_8,logic,crc32_8,delay_map_resyn,0,348,4232.56,0.575,0.000,1724.51,0.3,ok,,,,
crc32_8,logic,crc32_8,delay_syn2,0,204,2881.92,-0.366,-0.582,2569.67,0.2,ok,,,,
rr_arbiter16,logic,rr_arbiter16,delay_choice_deep_v3,0,293,4103.09,-1.176,-19.402,4469.19,0.3,ok,,,,
rr_arbiter16,logic,rr_arbiter16,orfs_area,0,280,3992.80,-1.844,-26.984,4760.27,0.4,ok,,,,
rr_arbiter16,logic,rr_arbiter16,delay_map_resyn,0,545,5174.02,-0.922,-15.028,3270.24,0.5,ok,,,,
rr_arbiter16,logic,rr_arbiter16,delay_map,0,540,5377.02,-1.814,-36.158,3181.98,0.5,ok,,,,
rr_arbiter16,logic,rr_arbiter16,delay_syn2,1,317,4310.88,-1.015,-15.848,4297.10,0.3,ok,,-0.753,-7.146,5106.89
uart,control,uart,orfs_area,0,329,5134.06,0.267,0.000,2207.50,0.3,ok,,,,
uart,control,uart,delay_choice_deep_v3,1,323,4945.45,0.262,0.000,2267.49,0.3,ok,,0.262,0.000,4945.45
uart,control,uart,delay_map,0,425,6048.35,0.533,0.000,1837.61,0.4,ok,,,,
uart,control,uart,delay_map_resyn,0,401,5699.89,0.531,0.000,1811.32,0.4,ok,,,,
uart,control,uart,delay_syn2,0,311,4953.44,0.301,0.000,2146.26,0.3,ok,,,,
spi_master,control,spi_master,orfs_area,1,371,6596.60,-0.229,-3.138,2000.70,0.3,ok,,0.058,0.000,6745.25
spi_master,control,spi_master,delay_choice_deep_v3,0,357,6211.38,-0.915,-37.281,2569.27,0.4,ok,,,,
spi_master,control,spi_master,delay_map,0,538,7167.23,-0.630,-11.798,1856.63,0.4,ok,,,,
spi_master,control,spi_master,delay_map_resyn,0,532,7188.00,-0.819,-8.064,1896.83,0.5,ok,,,,
spi_master,control,spi_master,delay_syn2,0,372,6654.14,-0.641,-10.130,2042.26,0.4,ok,,,,
apb_timer,peripheral,apb_timer,delay_choice_deep_v3,1,974,14687.70,0.058,0.000,3940.50,0.5,ok,,0.058,0.000,14687.70
apb_timer,peripheral,apb_timer,orfs_area,0,1040,15638.75,-2.385,-394.481,3710.19,0.5,ok,,,,
apb_timer,peripheral,apb_timer,delay_map_resyn,0,1377,15880.10,-0.539,-18.559,3068.37,0.7,ok,,,,
apb_timer,peripheral,apb_timer,delay_map,0,1366,16060.72,-0.033,-0.328,2722.21,0.9,ok,,,,
apb_timer,peripheral,apb_timer,delay_syn2,0,975,15060.12,-1.978,-366.564,3139.07,0.5,ok,,,,
fifo_sync,memory,fifo_sync,orfs_area,0,1752,34913.85,-2.928,-90.889,2300.71,0.5,ok,,,,
fifo_sync,memory,fifo_sync,delay_choice_deep_v3,0,1654,32890.28,-0.285,-55.806,2932.94,0.6,ok,,,,
fifo_sync,memory,fifo_sync,delay_map,1,2591,36788.77,0.465,0.000,2037.64,0.9,ok,,0.465,0.000,36788.77
fifo_sync,memory,fifo_sync,delay_syn2,0,1871,35399.76,-3.191,-98.270,2536.44,0.6,ok,,,,
fifo_sync,memory,fifo_sync,delay_map_resyn,0,2624,37722.24,0.422,0.000,2144.98,1.2,ok,,,,
zx16_core_ahb,cpu,zx16_core_ahb,delay_choice_deep_v3,0,2197,27183.99,-1.829,-213.522,6336.19,1.1,ok,,,,
zx16_core_ahb,cpu,zx16_core_ahb,orfs_area,0,2367,28553.82,-1.983,-291.787,5419.63,1.3,ok,,,,
zx16_core_ahb,cpu,zx16_core_ahb,delay_map_resyn,1,2791,27880.89,0.254,0.000,5334.13,1.9,ok,,0.254,0.000,27880.89
zx16_core_ahb,cpu,zx16_core_ahb,delay_map,0,3070,30217.75,-0.003,-0.138,4837.43,1.9,ok,,,,
