design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2,leakage_uw_before,leakage_uw_after,lib_mix_before,lib_mix_after
alu32,datapath,alu32,delay_choice_deep_v3,0,1657,13997.19,-0.967,-3.585,5578.30,1.5,ok,,,,,,,,
alu32,datapath,alu32,orfs_area,0,1546,15991.99,-1.858,-8.225,5625.06,1.6,ok,,,,,,,,
alu32,datapath,alu32,delay_map_resyn,0,1870,14526.26,-0.029,-0.029,5252.66,2.0,ok,,,,,,,,
alu32,datapath,alu32,delay_map,1,2171,17315.47,1.054,0.000,3897.10,2.1,ok,,0.170,0.000,17233.95,676.02,0.00,hs:2171,lp:269 ls:273 ms:1629
alu32,datapath,alu32,delay_syn2,0,1632,15467.72,-0.980,-2.433,4605.43,1.4,ok,,,,,,,,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3,1,1406,17227.56,1.548,0.000,5762.73,1.2,ok,,0.038,0.000,17217.96,857.39,0.00,hs:1406,lp:21 ls:66 ms:1319
mul16_pipe,datapath,mul16_pipe,orfs_area,0,1527,18002.78,0.993,0.000,6111.86,1.5,ok,,,,,,,,
mul16_pipe,datapath,mul16_pipe,delay_map_resyn,0,2589,24607.37,2.220,0.000,4660.74,1.7,ok,,,,,,,,
mul16_pipe,datapath,mul16_pipe,delay_map,0,3397,30137.83,2.090,0.000,4443.52,1.7,ok,,,,,,,,
mul16_pipe,datapath,mul16_pipe,delay_syn2,0,1529,17798.18,0.447,0.000,6486.37,1.1,ok,,,,,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3,1,4990,54246.50,0.161,0.000,7297.80,1.9,ok,,0.012,0.000,54228.92,2462.76,2431.09,hs:4990,hs:4913 lp:39 ls:30 ms:8
mul32_mac,datapath,mul32_mac,orfs_area,0,4736,58375.17,-1.242,-1.242,8581.38,2.7,ok,,,,,,,,
mul32_mac,datapath,mul32_mac,delay_map,0,12108,97647.85,0.211,0.000,5756.63,3.4,ok,,,,,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn,0,8932,76883.04,0.568,0.000,6027.67,3.6,ok,,,,,,,,
mul32_mac,datapath,mul32_mac,delay_syn2,0,4943,57419.32,-0.778,-0.778,8066.42,2.2,ok,,,,,,,,
fir8,dsp,fir8,delay_choice_deep_v3,1,1331,17748.63,2.451,0.000,7186.25,1.2,ok,,0.189,0.000,17628.75,895.62,0.00,hs:1331,lp:168 ls:35 ms:1128
fir8,dsp,fir8,delay_map_resyn,0,2345,21755.82,2.479,0.000,6407.90,1.6,ok,,,,,,,,
fir8,dsp,fir8,orfs_area,0,1911,22599.78,1.913,0.000,6948.41,1.6,ok,,,,,,,,
fir8,dsp,fir8,delay_map,0,3004,26061.91,2.418,0.000,6083.14,1.6,ok,,,,,,,,
fir8,dsp,fir8,delay_syn2,0,1757,20451.53,1.888,0.000,7116.16,1.1,ok,,,,,,,,
aes_round,crypto,aes_round,orfs_area,0,8511,80049.47,-0.906,-74.516,3301.04,3.0,ok,,,,,,,,
aes_round,crypto,aes_round,delay_choice_deep_v3,0,7164,71426.10,-0.320,-13.502,3741.47,3.3,ok,,,,,,,,
aes_round,crypto,aes_round,delay_map_resyn,1,10973,90526.98,0.362,0.000,2863.56,4.8,ok,,0.061,0.000,89738.97,3124.54,21.00,hs:10973,hs:57 lp:1349 ls:4055 ms:5512
aes_round,crypto,aes_round,delay_map,0,11601,96333.97,0.788,0.000,2891.96,4.9,ok,,,,,,,,
aes_round,crypto,aes_round,delay_syn2,0,8022,74244.08,-2.494,-255.891,3328.66,2.9,ok,,,,,,,,
sha256_core,crypto,sha256_core,delay_choice_deep_v3,0,7670,93141.96,-4.823,-3587.394,8739.48,2.2,ok,,,,,,,,
sha256_core,crypto,sha256_core,delay_map,0,10090,103691.40,-1.976,-1287.853,7050.11,3.2,ok,,,,,,,,
sha256_core,crypto,sha256_core,delay_map_resyn,0,9997,100934.16,3.176,0.000,7398.01,3.2,ok,,,,,,,,
sha256_core,crypto,sha256_core,orfs_area,0,7729,98509.39,-30.321,-27484.961,9195.21,3.3,ok,,,,,,,,
sha256_core,crypto,sha256_core,delay_syn2,1,7762,94166.54,0.626,0.000,9214.28,2.1,ok,,0.043,0.000,94046.66,5324.98,4957.97,hs:7762,hs:6792 lp:239 ls:243 ms:488
crc32_8,logic,crc32_8,orfs_area,0,208,3032.16,0.072,0.000,2090.25,0.8,ok,,,,,,,,
crc32_8,logic,crc32_8,delay_choice_deep_v3,0,195,3070.53,0.457,0.000,1900.75,0.8,ok,,,,,,,,
crc32_8,logic,crc32_8,delay_map_resyn,0,342,4579.42,0.814,0.000,1459.27,0.8,ok,,,,,,,,
crc32_8,logic,crc32_8,delay_map,0,341,4373.22,0.749,0.000,1582.35,0.8,ok,,,,,,,,
crc32_8,logic,crc32_8,delay_syn2,1,204,2845.15,0.021,0.000,2163.68,0.7,ok,,0.011,0.000,2843.55,184.57,9.76,hs:204,hs:10 lp:3 ls:1 ms:190
rr_arbiter16,logic,rr_arbiter16,orfs_area,0,280,4035.96,-0.754,-5.803,3934.15,0.9,ok,,,,,,,,
rr_arbiter16,logic,rr_arbiter16,delay_choice_deep_v3,1,293,4043.95,-0.247,-0.508,3770.31,0.9,ok,,0.017,0.000,4058.34,189.69,185.61,hs:293,hs:286 lp:2 ms:5
rr_arbiter16,logic,rr_arbiter16,delay_map,0,567,5610.38,-0.253,-3.271,2654.95,0.9,ok,,,,,,,,
rr_arbiter16,logic,rr_arbiter16,delay_map_resyn,0,529,5615.18,-0.285,-3.823,2703.05,1.0,ok,,,,,,,,
rr_arbiter16,logic,rr_arbiter16,delay_syn2,0,317,4341.25,-0.070,-0.179,3594.82,0.7,ok,,,,,,,,
uart,control,uart,delay_choice_deep_v3,1,323,4947.05,0.573,0.000,1917.98,0.8,ok,,0.011,0.000,4900.69,312.32,0.00,hs:323,lp:77 ls:77 ms:169
uart,control,uart,orfs_area,0,330,5188.41,0.559,0.000,1830.28,0.8,ok,,,,,,,,
uart,control,uart,delay_map_resyn,0,384,5509.68,0.580,0.000,1826.31,0.9,ok,,,,,,,,
uart,control,uart,delay_map,0,417,5739.85,0.788,0.000,1614.36,0.9,ok,,,,,,,,
uart,control,uart,delay_syn2,0,311,4987.01,0.635,0.000,1809.37,0.7,ok,,,,,,,,
spi_master,control,spi_master,orfs_area,1,370,6535.86,0.134,0.000,1812.75,0.8,ok,,0.011,0.000,6535.86,388.65,18.96,hs:370,hs:21 lp:6 ls:150 ms:193
spi_master,control,spi_master,delay_choice_deep_v3,0,357,6169.82,-0.279,-9.394,2170.42,0.9,ok,,,,,,,,
