design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2,leakage_uw_before,leakage_uw_after,lib_mix_before,lib_mix_after
alu32,datapath,alu32,delay_choice_deep_v3,0,1657,13993.99,-1.081,-5.547,5583.68,1.8,ok,,,,,,,,
alu32,datapath,alu32,orfs_area,0,1546,16022.36,-1.865,-11.327,5640.05,2.3,ok,,,,,,,,
alu32,datapath,alu32,delay_map,1,2187,17779.00,0.858,0.000,3791.97,2.4,ok,,0.040,0.000,17633.55,475.59,326.22,hs:1697 ls:490,hs:1092 ls:1095
alu32,datapath,alu32,delay_map_resyn,0,1913,14602.98,-0.508,-2.219,5573.53,2.9,ok,,,,,,,,
alu32,datapath,alu32,delay_syn2,0,1632,15619.56,-1.178,-3.369,4604.81,1.3,ok,,,,,,,,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3,1,1406,17320.26,1.043,0.000,5765.60,1.0,ok,,0.031,0.000,17313.87,618.93,547.26,hs:1170 ls:236,hs:1035 ls:371
mul16_pipe,datapath,mul16_pipe,orfs_area,0,1526,17991.59,0.595,0.000,6128.15,1.2,ok,,,,,,,,
mul16_pipe,datapath,mul16_pipe,delay_map,0,3415,29506.46,1.679,0.000,4535.95,1.5,ok,,,,,,,,
mul16_pipe,datapath,mul16_pipe,delay_map_resyn,0,2655,24068.71,1.526,0.000,4728.32,1.5,ok,,,,,,,,
mul16_pipe,datapath,mul16_pipe,delay_syn2,0,1529,17817.36,-0.103,-0.103,6493.83,1.1,ok,,,,,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3,0,4990,54304.04,-0.048,-0.048,7354.12,1.7,ok,,,,,,,,
mul32_mac,datapath,mul32_mac,orfs_area,0,4736,58387.95,-1.362,-1.362,8582.19,2.4,ok,,,,,,,,
mul32_mac,datapath,mul32_mac,delay_map,0,12187,99455.64,0.075,0.000,5737.17,3.3,ok,,,,,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn,1,9192,75692.23,0.424,0.000,6162.89,3.4,ok,,0.011,0.000,75679.44,2589.54,2553.85,hs:8652 ls:540,hs:8533 ls:659
mul32_mac,datapath,mul32_mac,delay_syn2,0,4943,57420.92,-0.727,-0.727,8051.40,2.0,ok,,,,,,,,
