design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2
alu32,datapath,alu32,area_amap,0,1919,9960.80,-4.356,-36.143,11007.63,0.6,ok,,,,
alu32,datapath,alu32,area_relax200,0,2026,10571.39,-5.339,-59.492,12120.15,0.7,ok,,,,
alu32,datapath,alu32,delay_map,1,2453,11762.53,0.732,0.000,6194.01,0.7,ok,,0.720,0.000,
alu32,datapath,alu32,delay_syn2,0,2038,11644.92,-1.227,-2.173,7585.55,0.8,ok,,,,
alu32,datapath,alu32,area_relax50,0,2014,10809.12,-4.071,-40.494,10986.71,0.8,ok,,,,
alu32,datapath,alu32,orfs_area,0,2139,12732.21,-0.485,-0.589,6812.25,0.8,ok,,,,
alu32,datapath,alu32,delay_resyn3,0,2004,10954.26,-1.544,-9.872,8196.94,1.1,ok,,,,
alu32,datapath,alu32,area_deepsyn,0,1876,10214.80,-3.646,-31.020,10083.85,4.9,ok,,,,
mul16_pipe,datapath,mul16_pipe,area_amap,0,2164,11558.59,-0.778,-4.683,8169.59,0.4,ok,,,,
mul16_pipe,datapath,mul16_pipe,area_relax50,0,1867,12444.44,-0.758,-3.665,8322.68,0.5,ok,,,,
mul16_pipe,datapath,mul16_pipe,area_relax200,0,1867,12180.43,-1.911,-15.334,9876.31,0.5,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_syn2,0,2132,13160.12,-1.688,-5.185,9102.21,0.5,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map,1,4199,20694.85,0.593,0.000,6928.90,0.6,ok,,0.570,0.000,
mul16_pipe,datapath,mul16_pipe,orfs_area,0,2122,13609.30,-0.473,-0.694,8022.13,0.7,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_resyn3,0,1860,12640.87,-0.714,-1.998,8116.92,0.8,ok,,,,
mul16_pipe,datapath,mul16_pipe,area_deepsyn,0,1825,12211.71,-3.200,-26.729,10757.80,5.3,ok,,,,
mul32_mac,datapath,mul32_mac,area_amap,0,7631,36929.17,-3.051,-3.051,10272.39,1.3,ok,,,,
mul32_mac,datapath,mul32_mac,area_relax50,0,6390,38987.39,-3.248,-3.248,10645.96,1.3,ok,,,,
mul32_mac,datapath,mul32_mac,area_relax200,0,6390,38489.41,-4.425,-7.986,12177.36,1.3,ok,,,,
mul32_mac,datapath,mul32_mac,delay_syn2,0,7467,42518.28,-2.953,-2.953,10506.31,1.6,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map,1,13934,65830.64,-1.142,-1.142,8519.29,1.8,ok,,-1.180,-1.180,
mul32_mac,datapath,mul32_mac,orfs_area,0,7448,44025.97,-2.638,-2.638,9988.78,1.9,ok,,,,
mul32_mac,datapath,mul32_mac,delay_resyn3,0,6454,39457.84,-2.742,-2.742,10214.85,2.4,ok,,,,
mul32_mac,datapath,mul32_mac,area_deepsyn,0,6756,38732.15,-11.579,-126.337,18501.36,9.1,ok,,,,
fir8,dsp,fir8,area_amap,0,2002,11672.44,-0.846,-4.312,11028.63,0.4,ok,,,,
fir8,dsp,fir8,area_relax200,0,1701,12806.03,-1.520,-7.420,12519.55,0.4,ok,,,,
fir8,dsp,fir8,area_relax50,0,1700,13135.10,-0.723,-2.368,10946.19,0.5,ok,,,,
fir8,dsp,fir8,delay_syn2,0,2285,15920.27,0.896,0.000,9373.95,0.6,ok,,,,
fir8,dsp,fir8,delay_map,1,3750,19562.51,1.528,0.000,8830.88,0.7,ok,,1.500,0.000,
fir8,dsp,fir8,delay_resyn3,0,1723,13225.18,-0.268,-0.413,10662.16,0.7,ok,,,,
fir8,dsp,fir8,orfs_area,0,2466,17301.59,0.752,0.000,9667.86,0.7,ok,,,,
fir8,dsp,fir8,area_deepsyn,0,1551,12296.79,-0.143,-0.429,10890.01,4.7,ok,,,,
aes_round,crypto,aes_round,area_amap,0,9897,50070.52,0.341,0.000,5746.96,2.1,ok,,,,
aes_round,crypto,aes_round,orfs_area,1,11830,67468.46,1.808,0.000,4421.78,2.4,ok,,1.780,0.000,
aes_round,crypto,aes_round,area_relax200,0,9878,50719.89,0.452,0.000,6220.68,2.5,ok,,,,
aes_round,crypto,aes_round,area_relax50,0,9844,51873.50,1.024,0.000,5273.61,2.6,ok,,,,
aes_round,crypto,aes_round,delay_syn2,0,11136,61712.94,1.639,0.000,4677.07,2.7,ok,,,,
aes_round,crypto,aes_round,delay_map,0,14609,69809.45,1.630,0.000,4760.22,3.1,ok,,,,
aes_round,crypto,aes_round,delay_resyn3,0,9223,51585.72,1.227,0.000,5178.50,4.2,ok,,,,
aes_round,crypto,aes_round,area_deepsyn,0,9276,51428.07,1.122,0.000,5102.14,24.3,ok,,,,
sha256_core,crypto,sha256_core,area_amap,0,9314,65391.47,-1.090,-5.523,12401.67,1.4,ok,,,,
sha256_core,crypto,sha256_core,delay_syn2,0,9121,68393.09,-1.482,-6.428,12575.78,1.5,ok,,,,
sha256_core,crypto,sha256_core,area_relax200,0,8619,65270.10,-3.944,-74.903,15263.49,1.6,ok,,,,
sha256_core,crypto,sha256_core,area_relax50,0,8618,66238.53,-1.576,-8.252,12557.75,1.6,ok,,,,
sha256_core,crypto,sha256_core,delay_map,1,11710,75574.98,1.137,0.000,10201.59,1.8,ok,,1.090,0.000,
sha256_core,crypto,sha256_core,orfs_area,0,9579,74512.71,-0.634,-2.455,11972.23,1.9,ok,,,,
sha256_core,crypto,sha256_core,delay_resyn3,0,8758,66467.50,-1.292,-9.077,12348.81,2.7,ok,,,,
sha256_core,crypto,sha256_core,area_deepsyn,0,8153,64855.95,-2.907,-45.396,14204.14,8.3,ok,,,,
crc32_8,logic,crc32_8,delay_syn2,0,213,2128.29,-0.567,-2.124,3425.31,0.1,ok,,,,
crc32_8,logic,crc32_8,area_relax200,0,198,2004.42,-1.542,-19.067,4918.26,0.1,ok,,,,
crc32_8,logic,crc32_8,area_relax50,0,198,2250.91,-0.131,-0.877,3135.59,0.1,ok,,,,
crc32_8,logic,crc32_8,orfs_area,0,230,2273.43,-0.228,-0.228,2941.15,0.1,ok,,,,
crc32_8,logic,crc32_8,delay_resyn3,0,229,2197.11,-0.234,-0.931,3132.77,0.2,ok,,,,
crc32_8,logic,crc32_8,delay_map,1,279,2529.93,0.128,0.000,2558.90,0.2,ok,,0.130,0.000,
crc32_8,logic,crc32_8,area_amap,0,259,2127.04,-0.625,-3.648,3178.51,0.2,ok,,,,
crc32_8,logic,crc32_8,area_deepsyn,0,227,2019.44,-0.584,-1.914,3529.04,4.2,ok,,,,
rr_arbiter16,logic,rr_arbiter16,area_amap,0,396,2715.10,-1.351,-22.355,5730.53,0.2,ok,,,,
rr_arbiter16,logic,rr_arbiter16,area_relax200,0,446,2770.16,-2.083,-40.420,6653.80,0.2,ok,,,,
rr_arbiter16,logic,rr_arbiter16,delay_syn2,0,399,3124.25,-0.730,-9.802,5197.22,0.2,ok,,,,
rr_arbiter16,logic,rr_arbiter16,delay_map,1,581,3749.85,0.069,0.000,4163.75,0.2,ok,,0.060,0.000,
rr_arbiter16,logic,rr_arbiter16,orfs_area,0,446,3133.00,-0.429,-2.427,4765.38,0.2,ok,,,,
rr_arbiter16,logic,rr_arbiter16,area_relax50,0,433,3102.98,-1.592,-27.460,5816.89,0.2,ok,,,,
rr_arbiter16,logic,rr_arbiter16,delay_resyn3,0,382,3081.71,-1.263,-20.246,5614.91,0.3,ok,,,,
rr_arbiter16,logic,rr_arbiter16,area_deepsyn,0,361,2599.99,-1.705,-19.076,5945.19,4.2,ok,,,,
uart,control,uart,area_amap,0,414,3483.34,-1.063,-6.683,3808.43,0.2,ok,,,,
uart,control,uart,delay_syn2,0,392,3479.59,-0.296,-1.748,3262.30,0.2,ok,,,,
uart,control,uart,area_relax200,0,391,3405.77,-0.285,-2.218,3477.23,0.2,ok,,,,
uart,control,uart,orfs_area,0,418,3920.01,0.097,0.000,2508.37,0.2,ok,,,,
uart,control,uart,delay_map,1,466,4038.87,0.300,0.000,2262.69,0.2,ok,,0.280,0.000,
uart,control,uart,area_relax50,0,390,3570.92,-0.250,-0.925,2942.97,0.2,ok,,,,
uart,control,uart,delay_resyn3,0,364,3570.92,-0.030,-0.269,3059.10,0.2,ok,,,,
uart,control,uart,area_deepsyn,0,355,3196.82,-1.583,-15.772,4356.17,4.2,ok,,,,
spi_master,control,spi_master,delay_map,1,551,5231.27,0.333,0.000,2244.79,0.2,ok,,0.320,0.000,
spi_master,control,spi_master,area_relax200,0,476,4488.05,-0.468,-15.472,3133.08,0.2,ok,,,,
spi_master,control,spi_master,area_relax50,0,475,4784.59,-0.029,-0.295,2551.44,0.2,ok,,,,
spi_master,control,spi_master,delay_syn2,0,495,4681.99,0.143,0.000,2567.09,0.2,ok,,,,
spi_master,control,spi_master,orfs_area,0,508,5163.70,-0.110,-0.220,2447.55,0.2,ok,,,,
spi_master,control,spi_master,area_amap,0,515,4616.93,-0.526,-14.024,3005.12,0.2,ok,,,,
spi_master,control,spi_master,delay_resyn3,0,503,4875.93,-0.025,-0.050,2537.62,0.3,ok,,,,
spi_master,control,spi_master,area_deepsyn,0,447,4312.89,-0.688,-11.685,3164.37,4.2,ok,,,,
apb_timer,peripheral,apb_timer,delay_syn2,0,1333,11648.67,-0.973,-19.295,3820.10,0.3,ok,,,,
apb_timer,peripheral,apb_timer,area_amap,0,1348,10668.98,-6.273,-272.947,9702.83,0.3,ok,,,,
apb_timer,peripheral,apb_timer,area_relax200,0,1322,11048.10,-8.754,-310.910,12651.21,0.3,ok,,,,
apb_timer,peripheral,apb_timer,orfs_area,0,1417,12050.31,-0.836,-23.923,3391.99,0.3,ok,,,,
apb_timer,peripheral,apb_timer,delay_map,1,1506,11312.10,-0.439,-4.380,3283.93,0.4,ok,,-0.470,-4.730,
apb_timer,peripheral,apb_timer,area_relax50,0,1335,11357.14,-1.485,-63.815,5303.41,0.3,ok,,,,
