design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2
alu32,datapath,alu32,yosys_default,0,2064,11001.80,-3.402,-29.322,9544.78,0.8,ok,,,,
alu32,datapath,alu32,yosys_default@adder=han-carlson,0,2071,11103.15,-1.729,-23.829,8422.22,0.8,ok,,,,
alu32,datapath,alu32,yosys_default@adder=kogge-stone,0,2137,11287.08,-1.575,-16.667,8470.54,0.9,ok,,,,
alu32,datapath,alu32,area_classic,0,2004,10765.32,-2.427,-26.962,9112.10,1.1,ok,,,,
alu32,datapath,alu32,area_lut6@adder=han-carlson,0,2051,11010.56,-2.235,-26.859,9005.64,1.2,ok,,,,
alu32,datapath,alu32,area_classic@adder=han-carlson,0,2030,11153.20,-2.863,-30.780,9668.64,1.2,ok,,,,
alu32,datapath,alu32,area_lut6@adder=sklansky,0,2021,10941.74,-2.535,-24.494,9176.34,1.2,ok,,,,
alu32,datapath,alu32,area_lut6,0,2039,10936.74,-2.555,-25.585,9075.45,1.3,ok,,,,
alu32,datapath,alu32,area_classic@adder=kogge-stone,0,2074,11188.23,-2.223,-21.871,8615.33,1.3,ok,,,,
alu32,datapath,alu32,area_lut6@adder=kogge-stone,1,2080,11244.53,-1.383,-10.024,7888.87,1.3,ok,,-1.190,-7.590,11308.35
alu32,datapath,alu32,yosys_default@adder=sklansky,0,2053,10999.30,-2.499,-27.162,9020.77,0.8,ok,,,,
alu32,datapath,alu32,area_max,0,1985,10830.39,-2.862,-28.902,9540.73,1.8,ok,,,,
alu32,datapath,alu32,area_max@adder=sklansky,0,1978,11003.05,-2.735,-29.404,9428.44,1.8,ok,,,,
alu32,datapath,alu32,area_max@adder=kogge-stone,0,2045,10822.88,-2.401,-25.606,8969.12,1.9,ok,,,,
alu32,datapath,alu32,area_classic@adder=sklansky,0,2053,10800.36,-2.635,-30.486,9404.15,1.1,ok,,,,
alu32,datapath,alu32,yosys_default@booth,0,2064,11001.80,-3.402,-29.322,9544.78,0.8,ok,,,,
alu32,datapath,alu32,area_max@adder=han-carlson,0,1994,10829.14,-3.134,-34.517,9617.33,2.0,ok,,,,
alu32,datapath,alu32,area_lut6@booth,0,2039,10936.74,-2.555,-25.585,9075.45,1.2,ok,,,,
alu32,datapath,alu32,area_classic@booth,0,2004,10765.32,-2.427,-26.962,9112.10,1.1,ok,,,,
alu32,datapath,alu32,yosys_default@booth+adder=kogge-stone,0,2137,11287.08,-1.575,-16.667,8470.54,0.8,ok,,,,
alu32,datapath,alu32,delay_aggressive,0,2001,10844.15,-2.724,-27.100,9314.20,2.5,ok,,,,
