design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2
alu32,datapath,alu32,balanced_resyn,0,1977,10719.03,-2.508,-15.271,9155.43,1.1,ok,,,,
alu32,datapath,alu32,delay_map_resyn,0,2258,11074.37,-1.268,-6.169,8202.29,1.1,ok,,,,
alu32,datapath,alu32,balanced_resyn@adder=han-carlson,0,2019,10777.84,-1.583,-8.062,8395.62,1.1,ok,,,,
alu32,datapath,alu32,balanced_resyn@adder=sklansky,0,1978,10770.33,-2.076,-16.535,8789.65,1.2,ok,,,,
alu32,datapath,alu32,delay_map_resyn@adder=han-carlson,1,2416,11596.12,0.487,0.000,6697.21,1.2,ok,,0.470,0.000,11596.12
alu32,datapath,alu32,delay_map_resyn@adder=kogge-stone,0,2420,11835.10,0.244,0.000,6927.81,1.2,ok,,,,
alu32,datapath,alu32,balanced_resyn@adder=kogge-stone,0,2041,11349.64,-1.380,-7.081,7926.08,1.3,ok,,,,
alu32,datapath,alu32,delay_triple,0,2020,10870.43,-0.922,-2.070,7656.44,1.6,ok,,,,
alu32,datapath,alu32,delay_triple@adder=sklansky,0,2038,10821.63,-0.755,-2.412,7534.32,1.6,ok,,,,
alu32,datapath,alu32,delay_triple@adder=han-carlson,0,1969,10696.51,-1.108,-8.570,8105.05,1.6,ok,,,,
alu32,datapath,alu32,balanced_resyn2x@adder=sklansky,0,1939,10780.34,-3.076,-27.607,9637.83,1.7,ok,,,,
alu32,datapath,alu32,balanced_resyn2x@adder=han-carlson,0,1995,10717.78,-1.957,-18.922,8621.04,1.8,ok,,,,
alu32,datapath,alu32,delay_triple@adder=kogge-stone,0,2070,11408.44,-0.868,-2.413,7405.08,1.8,ok,,,,
alu32,datapath,alu32,balanced_resyn2x,0,1985,10715.28,-2.429,-17.918,9099.93,1.8,ok,,,,
alu32,datapath,alu32,balanced_resyn2x@adder=kogge-stone,0,2034,10779.09,-1.807,-12.368,8716.12,1.8,ok,,,,
alu32,datapath,alu32,delay_iter_heavy,0,2001,10636.45,-1.628,-5.097,8260.44,1.9,ok,,,,
alu32,datapath,alu32,delay_iter_heavy@adder=han-carlson,0,1969,10809.12,-0.944,-6.364,7975.55,2.0,ok,,,,
alu32,datapath,alu32,delay_iter_heavy@adder=kogge-stone,0,2052,11115.66,-0.770,-2.852,7452.83,2.1,ok,,,,
alu32,datapath,alu32,balanced_resyn@booth,0,1977,10719.03,-2.508,-15.271,9155.43,1.2,ok,,,,
alu32,datapath,alu32,delay_map_resyn@adder=sklansky,0,2284,10955.51,-1.239,-5.780,8234.28,1.3,ok,,,,
alu32,datapath,alu32,delay_map_resyn@booth,0,2258,11074.37,-1.268,-6.169,8202.29,1.2,ok,,,,
alu32,datapath,alu32,balanced_resyn@booth+adder=kogge-stone,0,2041,11349.64,-1.380,-7.081,7926.08,1.3,ok,,,,
alu32,datapath,alu32,delay_triple@booth,0,2020,10870.43,-0.922,-2.070,7656.44,1.7,ok,,,,
alu32,datapath,alu32,delay_map_resyn@booth+adder=kogge-stone,0,2420,11835.10,0.244,0.000,6927.81,1.3,ok,,,,
alu32,datapath,alu32,balanced_resyn2x@booth,0,1985,10715.28,-2.429,-17.918,9099.93,2.0,ok,,,,
alu32,datapath,alu32,delay_iter_heavy@adder=sklansky,0,2061,10961.76,-0.777,-2.675,7510.79,2.1,ok,,,,
alu32,datapath,alu32,delay_iter_heavy@booth,0,2001,10636.45,-1.628,-5.097,8260.44,2.1,ok,,,,
alu32,datapath,alu32,delay_triple@booth+adder=kogge-stone,0,2070,11408.44,-0.868,-2.413,7405.08,1.8,ok,,,,
alu32,datapath,alu32,balanced_resyn2x@booth+adder=kogge-stone,0,2034,10779.09,-1.807,-12.368,8716.12,1.9,ok,,,,
alu32,datapath,alu32,delay_iter_heavy@booth+adder=kogge-stone,0,2052,11115.66,-0.770,-2.852,7452.83,2.0,ok,,,,
mul16_pipe,datapath,mul16_pipe,balanced_resyn,0,1860,12463.20,-0.411,-0.667,8087.58,0.8,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map_resyn,0,3000,15598.71,0.574,0.000,7350.71,0.9,ok,,,,
mul16_pipe,datapath,mul16_pipe,balanced_resyn@adder=han-carlson,0,1885,12745.97,-0.415,-0.784,7949.67,0.9,ok,,,,
mul16_pipe,datapath,mul16_pipe,balanced_resyn@adder=sklansky,0,1886,12674.66,-0.290,-0.656,7883.88,0.9,ok,,,,
mul16_pipe,datapath,mul16_pipe,balanced_resyn@adder=kogge-stone,0,1946,13071.29,-0.612,-0.949,7858.77,1.0,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map_resyn@adder=han-carlson,0,3456,18022.28,0.888,0.000,6987.45,1.0,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_triple,0,1871,12426.92,-0.706,-3.904,8270.90,1.1,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map_resyn@adder=kogge-stone,0,3709,18019.78,1.058,0.000,6706.97,1.1,ok,,,,
mul16_pipe,datapath,mul16_pipe,balanced_resyn2x,0,1876,12494.48,-1.179,-4.471,8491.98,1.4,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_iter_heavy,0,1864,12370.61,-0.550,-2.827,8244.83,1.4,ok,,,,
mul16_pipe,datapath,mul16_pipe,balanced_resyn2x@adder=han-carlson,0,1864,12562.05,-0.282,-1.292,7942.75,1.5,ok,,,,
mul16_pipe,datapath,mul16_pipe,balanced_resyn@booth,0,1200,9042.42,-0.249,-0.353,7908.92,0.6,ok,,,,
