design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2
alu32,datapath,alu32,delay_choice_deep_v3,0,2051,11124.42,-1.753,-8.024,8391.89,0.9,ok,,,,
alu32,datapath,alu32,delay_syn2@adder=han-carlson,0,2123,11597.37,-0.181,-0.181,6646.72,0.9,ok,,,,
alu32,datapath,alu32,delay_map@adder=sklansky,0,2447,11750.02,0.667,0.000,6324.14,0.9,ok,,,,
alu32,datapath,alu32,delay_map@adder=han-carlson,0,2471,12021.53,0.660,0.000,6468.47,0.9,ok,,,,
alu32,datapath,alu32,delay_map,0,2454,11901.41,0.723,0.000,6432.42,1.0,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v3@adder=han-carlson,0,2087,11021.82,-1.420,-12.938,8348.14,0.9,ok,,,,
alu32,datapath,alu32,delay_syn2@adder=kogge-stone,0,2249,12585.82,0.706,0.000,6006.23,1.0,ok,,,,
alu32,datapath,alu32,delay_syn2,0,2038,11644.92,-1.227,-2.173,7585.55,1.0,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v3@adder=kogge-stone,0,2150,11547.32,-0.563,-1.355,7370.09,1.0,ok,,,,
alu32,datapath,alu32,delay_map@adder=kogge-stone,0,2665,12951.17,1.181,0.000,5960.46,1.0,ok,,,,
alu32,datapath,alu32,orfs_area@adder=sklansky,0,2164,12607.09,0.112,0.000,6489.26,1.0,ok,,,,
alu32,datapath,alu32,orfs_area,0,2139,12732.21,-0.485,-0.589,6812.25,1.1,ok,,,,
alu32,datapath,alu32,orfs_area@adder=han-carlson,0,2219,12938.66,-0.210,-0.210,6394.26,1.1,ok,,,,
alu32,datapath,alu32,orfs_area@adder=kogge-stone,0,2197,13160.12,-0.233,-0.233,6468.48,1.1,ok,,,,
alu32,datapath,alu32,delay_map_resyn,0,2258,11074.37,-1.268,-6.169,8202.29,1.1,ok,,,,
alu32,datapath,alu32,delay_map_resyn@adder=sklansky,0,2284,10955.51,-1.239,-5.780,8234.28,1.1,ok,,,,
alu32,datapath,alu32,delay_map_resyn@adder=han-carlson,1,2416,11596.12,0.487,0.000,6697.21,1.2,ok,,0.470,0.000,11596.12
alu32,datapath,alu32,delay_map_resyn@adder=kogge-stone,0,2420,11835.10,0.244,0.000,6927.81,1.2,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v3@adder=sklansky,0,2095,11030.58,-1.788,-14.325,8692.93,0.8,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v3@booth,0,2051,11124.42,-1.753,-8.024,8391.89,0.7,ok,,,,
alu32,datapath,alu32,delay_syn2@adder=sklansky,0,2045,11539.82,-1.033,-6.240,7733.43,0.8,ok,,,,
