design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2
alu32,datapath,alu32,yosys_default,0,2064,11001.80,-3.402,-29.322,9544.78,0.8,ok,,,,
alu32,datapath,alu32,orfs_speed,0,2064,10884.19,-1.947,-10.541,8501.65,0.9,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v3,0,2051,11124.42,-1.753,-8.024,8391.89,0.9,ok,,,,
alu32,datapath,alu32,delay_choice_deep,0,2064,10895.45,-1.872,-9.672,8565.83,1.0,ok,,,,
alu32,datapath,alu32,delay_map,0,2454,11901.41,0.723,0.000,6432.42,1.0,ok,,,,
alu32,datapath,alu32,delay_syn2,0,2038,11644.92,-1.227,-2.173,7585.55,1.0,ok,,,,
alu32,datapath,alu32,delay_choice_deep_bb,0,2019,10954.26,-1.766,-11.889,8632.31,1.0,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v4,0,2015,11113.16,-1.100,-1.986,7697.92,1.0,ok,,,,
alu32,datapath,alu32,orfs_area,0,2139,12732.21,-0.485,-0.589,6812.25,1.1,ok,,,,
alu32,datapath,alu32,delay_map_resyn,0,2258,11074.37,-1.268,-6.169,8202.29,1.2,ok,,,,
alu32,datapath,alu32,area_classic,0,2004,10765.32,-2.427,-26.962,9112.10,1.2,ok,,,,
alu32,datapath,alu32,balanced_resyn,0,1977,10719.03,-2.508,-15.271,9155.43,1.3,ok,,,,
alu32,datapath,alu32,area_lut6,0,2039,10936.74,-2.555,-25.585,9075.45,1.4,ok,,,,
alu32,datapath,alu32,delay_triple,0,2020,10870.43,-0.922,-2.070,7656.44,1.7,ok,,,,
alu32,datapath,alu32,delay_map@adder=kogge-stone,0,2665,12951.17,1.181,0.000,5960.46,1.1,ok,,,,
alu32,datapath,alu32,balanced_resyn2x,0,1985,10715.28,-2.429,-17.918,9099.93,1.9,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v3@adder=kogge-stone,0,2150,11547.32,-0.563,-1.355,7370.09,1.0,ok,,,,
alu32,datapath,alu32,area_max,0,1985,10830.39,-2.862,-28.902,9540.73,1.9,ok,,,,
alu32,datapath,alu32,delay_choice_deep@adder=kogge-stone,0,2087,11150.69,-1.669,-13.131,8335.92,1.1,ok,,,,
alu32,datapath,alu32,delay_iter_heavy,0,2001,10636.45,-1.628,-5.097,8260.44,2.1,ok,,,,
alu32,datapath,alu32,delay_syn2@adder=kogge-stone,0,2249,12585.82,0.706,0.000,6006.23,1.0,ok,,,,
alu32,datapath,alu32,delay_choice_deep_bb@adder=kogge-stone,0,2126,11474.76,-0.549,-1.505,7392.62,1.1,ok,,,,
alu32,datapath,alu32,delay_map_resyn@adder=kogge-stone,0,2420,11835.10,0.244,0.000,6927.81,1.3,ok,,,,
alu32,datapath,alu32,balanced_resyn@adder=kogge-stone,0,2041,11349.64,-1.380,-7.081,7926.08,1.3,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v4@adder=kogge-stone,0,2184,11693.72,-0.331,-0.480,7246.32,1.1,ok,,,,
