design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2
alu32,datapath,alu32,delay_choice_deep_v3,0,2051,11124.42,-1.753,-8.024,8391.89,0.8,ok,,,,
alu32,datapath,alu32,delay_map,0,2453,11762.53,0.732,0.000,6194.01,0.9,ok,,,,
alu32,datapath,alu32,delay_syn2,0,2038,11644.92,-1.227,-2.173,7585.55,1.0,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v2,0,2064,10897.95,-1.898,-9.617,8455.35,1.0,ok,,,,
alu32,datapath,alu32,delay_choice_deep_bb,0,2019,10954.26,-1.766,-11.889,8632.31,1.0,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v4,0,2015,11113.16,-1.100,-1.986,7697.92,1.0,ok,,,,
alu32,datapath,alu32,delay_choice_deep,0,2064,10895.45,-1.872,-9.672,8565.83,1.0,ok,,,,
alu32,datapath,alu32,orfs_area,0,2139,12732.21,-0.485,-0.589,6812.25,1.0,ok,,,,
alu32,datapath,alu32,area_classic,0,2004,10765.32,-2.427,-26.962,9112.10,1.1,ok,,,,
alu32,datapath,alu32,delay_map_resyn,0,2257,10998.05,-1.314,-6.559,8022.05,1.1,ok,,,,
alu32,datapath,alu32,balanced_resyn,0,1977,10719.03,-2.508,-15.271,9155.43,1.1,ok,,,,
alu32,datapath,alu32,area_safe,0,2051,10795.35,-2.879,-33.004,9502.55,1.2,ok,,,,
alu32,datapath,alu32,area_lut6,0,2039,10936.74,-2.555,-25.585,9075.45,1.2,ok,,,,
alu32,datapath,alu32,delay_triple,0,2020,10870.43,-0.922,-2.070,7656.44,1.5,ok,,,,
alu32,datapath,alu32,yosys_default,0,2064,11001.80,-3.402,-29.322,9544.78,0.8,ok,,,,
alu32,datapath,alu32,orfs_speed,0,2064,10884.19,-1.947,-10.541,8501.65,0.8,ok,,,,
alu32,datapath,alu32,balanced_resyn2x,0,1985,10715.28,-2.429,-17.918,9099.93,1.7,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v3@adder=kogge-stone,0,2150,11547.32,-0.563,-1.355,7370.09,0.9,ok,,,,
alu32,datapath,alu32,delay_iter_heavy,0,2001,10636.45,-1.628,-5.097,8260.44,1.9,ok,,,,
alu32,datapath,alu32,delay_map@adder=kogge-stone,1,2664,12759.74,1.070,0.000,5802.76,1.0,ok,,1.040,0.000,12759.74
alu32,datapath,alu32,area_max,0,1985,10830.39,-2.862,-28.902,9540.73,2.0,ok,,,,
alu32,datapath,alu32,delay_syn2@adder=kogge-stone,0,2249,12585.82,0.706,0.000,6006.23,0.9,ok,,,,
alu32,datapath,alu32,delay_choice_deep_bb@adder=kogge-stone,0,2126,11474.76,-0.549,-1.505,7392.62,0.9,ok,,,,
alu32,datapath,alu32,delay_choice_deep@adder=kogge-stone,0,2087,11150.69,-1.669,-13.131,8335.92,1.1,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v2@adder=kogge-stone,0,2087,11150.69,-1.669,-13.131,8335.92,1.0,ok,,,,
alu32,datapath,alu32,delay_map_resyn@adder=kogge-stone,0,2418,11649.92,0.101,0.000,6773.13,1.2,ok,,,,
alu32,datapath,alu32,balanced_resyn@adder=kogge-stone,0,2041,11349.64,-1.380,-7.081,7926.08,1.2,ok,,,,
alu32,datapath,alu32,delay_aggressive,0,2001,10844.15,-2.724,-27.100,9314.20,2.4,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v4@adder=kogge-stone,0,2184,11693.72,-0.331,-0.480,7246.32,0.9,ok,,,,
alu32,datapath,alu32,delay_triple@adder=kogge-stone,0,2070,11408.44,-0.868,-2.413,7405.08,1.7,ok,,,,
alu32,datapath,alu32,area_safe@adder=kogge-stone,0,2054,11239.53,-1.681,-12.856,8101.87,1.1,ok,,,,
alu32,datapath,alu32,balanced_resyn2x@adder=kogge-stone,0,2034,10779.09,-1.807,-12.368,8716.12,1.8,ok,,,,
alu32,datapath,alu32,orfs_area@adder=kogge-stone,0,2197,13160.12,-0.233,-0.233,6468.48,1.0,ok,,,,
alu32,datapath,alu32,yosys_default@adder=kogge-stone,0,2137,11287.08,-1.575,-16.667,8470.54,0.8,ok,,,,
alu32,datapath,alu32,orfs_speed@adder=kogge-stone,0,2087,11135.68,-1.675,-14.453,8348.71,1.0,ok,,,,
alu32,datapath,alu32,area_classic@adder=kogge-stone,0,2074,11188.23,-2.223,-21.871,8615.33,1.3,ok,,,,
alu32,datapath,alu32,delay_map@adder=han-carlson,0,2470,11613.64,0.433,0.000,6264.89,0.9,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v3@adder=han-carlson,0,2087,11021.82,-1.420,-12.938,8348.14,0.9,ok,,,,
alu32,datapath,alu32,delay_iter_heavy@adder=kogge-stone,0,2052,11115.66,-0.770,-2.852,7452.83,2.1,ok,,,,
alu32,datapath,alu32,area_lut6@adder=kogge-stone,0,2080,11244.53,-1.383,-10.024,7888.87,1.3,ok,,,,
alu32,datapath,alu32,delay_map_resyn@adder=han-carlson,0,2415,11554.83,0.326,0.000,6506.90,1.1,ok,,,,
alu32,datapath,alu32,delay_choice_deep@adder=han-carlson,0,2034,10874.18,-1.282,-3.164,7708.82,0.9,ok,,,,
alu32,datapath,alu32,balanced_resyn@adder=han-carlson,0,2019,10777.84,-1.583,-8.062,8395.62,1.2,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v2@adder=han-carlson,0,2034,10914.22,-0.893,-1.694,7674.31,1.0,ok,,,,
alu32,datapath,alu32,delay_syn2@adder=han-carlson,0,2123,11597.37,-0.181,-0.181,6646.72,0.9,ok,,,,
alu32,datapath,alu32,delay_triple@adder=han-carlson,0,1969,10696.51,-1.108,-8.570,8105.05,1.6,ok,,,,
alu32,datapath,alu32,delay_choice_deep_bb@adder=han-carlson,0,2043,11104.40,-0.901,-3.146,7847.47,1.0,ok,,,,
alu32,datapath,alu32,area_max@adder=kogge-stone,0,2045,10822.88,-2.401,-25.606,8969.12,2.0,ok,,,,
alu32,datapath,alu32,delay_aggressive@adder=kogge-stone,0,2064,10910.46,-2.984,-37.199,9567.97,2.5,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v4@adder=han-carlson,0,2006,11164.46,-0.606,-1.279,7382.59,1.0,ok,,,,
alu32,datapath,alu32,area_safe@adder=han-carlson,0,2045,10955.51,-2.179,-25.240,8990.65,1.1,ok,,,,
alu32,datapath,alu32,delay_iter_heavy@adder=han-carlson,0,1969,10809.12,-0.944,-6.364,7975.55,1.9,ok,,,,
alu32,datapath,alu32,orfs_area@adder=han-carlson,0,2219,12938.66,-0.210,-0.210,6394.26,1.1,ok,,,,
alu32,datapath,alu32,orfs_speed@adder=han-carlson,0,2034,10851.66,-1.259,-3.202,7745.79,0.9,ok,,,,
alu32,datapath,alu32,area_classic@adder=han-carlson,0,2030,11153.20,-2.863,-30.780,9668.64,1.3,ok,,,,
