design,top,period_ps,passes,wns_before,wns_after,tns_before,tns_after,area_before,area_after,runtime_s
alu32,alu32,10000,resize,-0.9219,-1.0322,-2.0703,-1.6461,10870.4256,10906.7104,2.7
mul16_pipe,mul16_pipe,9000,resize,-0.4107,-0.2716,-0.6672,-0.2767,12463.2032,12510.7488,4.5
mul32_mac,mul32_mac,16000,resize,-2.5843,-2.3707,-2.5843,-2.3707,39668.0448,39749.3728,8.1
fir8,fir8,12000,resize,0.3225,0.3225,0.0,0.0,13291.4976,13291.4976,0.4
aes_round,aes_round,8000,resize,1.4222,1.4222,0.0,0.0,53537.5968,53537.5968,1.3
sha256_core,sha256_core,13000,resize,-0.0743,0.0098,-0.0743,0.0,65979.5296,65997.0464,2.8
crc32_8,crc32_8,4000,resize,-0.0298,-0.0087,-0.056,-0.0087,2153.3152,2168.3296,0.6
rr_arbiter16,rr_arbiter16,6000,resize,-0.4301,-0.3839,-4.1957,-3.8847,3065.44,3086.7104,2.7
uart,uart,4000,resize,0.0544,0.0544,0.0,0.0,3764.8608,3764.8608,0.2
spi_master,spi_master,4000,resize,0.2026,0.2026,0.0,0.0,4868.4192,4868.4192,0.2
apb_timer,apb_timer,5000,resize,-0.0651,-0.0852,-3.2655,-0.0852,11347.1328,11533.5616,2.0
fifo_sync,fifo_sync,4000,resize,-0.6019,-0.6942,-229.4716,-151.6856,27948.0544,29439.4848,4.8
zx16_core_ahb,zx16_core_ahb,10000,resize,-0.1733,-0.1411,-2.0578,-0.5366,20519.68,20672.3264,4.3
zxip,zxip_top,10000,resize,-1.2381,-0.3462,-14.8219,-2.2865,161253.4048,161768.8992,18.1
ms_psram_ahb,ms_psram_ahb,8000,resize,0.1174,0.1174,0.0,0.0,25149.12,25149.12,0.5
uart_apb_sys,uart_apb_sys,10000,resize,3.9712,3.9712,0.0,0.0,16917.4752,16917.4752,0.4
