design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2
alu32,datapath,alu32,delay_choice_deep_v3_wl,0,2057,11248.29,-1.730,-8.005,8677.55,0.7,ok,,,,
alu32,datapath,alu32,delay_map,1,2453,11762.53,0.732,0.000,6194.01,0.7,ok,,0.720,0.000,
alu32,datapath,alu32,orfs_speed,0,2064,10884.19,-1.947,-10.541,8501.65,0.7,ok,,,,
alu32,datapath,alu32,orfs_speed_wl,0,2068,10939.24,-1.830,-9.282,8740.98,0.7,ok,,,,
alu32,datapath,alu32,delay_choice_deep_v3,0,2051,11124.42,-1.753,-8.024,8391.89,0.7,ok,,,,
alu32,datapath,alu32,t,0,2068,10939.24,-1.830,-9.282,8740.98,0.8,ok,,,,
alu32,datapath,alu32,delay_map_wl,0,2454,11901.41,0.723,0.000,6432.42,0.8,ok,,,,
alu32,datapath,alu32,delay_map_resyn,0,2257,10998.05,-1.314,-6.559,8022.05,0.9,ok,,,,
alu32,datapath,alu32,delay_map_resyn_wl,0,2258,11074.37,-1.268,-6.169,8202.29,0.9,ok,,,,
alu32,datapath,alu32,balanced_resyn2x,0,1985,10715.28,-2.429,-17.918,9099.93,1.4,ok,,,,
alu32,datapath,alu32,balanced_resyn2x_wl,0,1991,10756.57,-2.557,-19.591,9419.28,1.4,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3,0,1849,12760.99,-0.667,-2.191,8071.68,0.5,ok,,,,
mul16_pipe,datapath,mul16_pipe,orfs_speed,0,1826,12390.63,-0.435,-1.823,8099.35,0.5,ok,,,,
mul16_pipe,datapath,mul16_pipe,orfs_speed_wl,0,1827,12446.94,-0.344,-1.270,8371.23,0.5,ok,,,,
mul16_pipe,datapath,mul16_pipe,t,0,1827,12446.94,-0.344,-1.270,8371.23,0.5,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3_wl,0,1850,12847.32,-0.689,-2.457,8320.59,0.5,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map,0,4199,20694.85,0.593,0.000,6928.90,0.6,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map_wl,1,4202,20882.53,0.657,0.000,7225.72,0.6,ok,,0.630,0.000,
mul16_pipe,datapath,mul16_pipe,delay_map_resyn,0,2997,15353.48,0.491,0.000,7121.98,0.7,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map_resyn_wl,0,3000,15598.71,0.574,0.000,7350.71,0.7,ok,,,,
mul16_pipe,datapath,mul16_pipe,balanced_resyn2x,0,1876,12494.48,-1.179,-4.471,8491.98,1.0,ok,,,,
mul16_pipe,datapath,mul16_pipe,balanced_resyn2x_wl,0,1879,12638.37,-1.129,-3.972,8657.23,1.1,ok,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3,0,6430,39709.33,-2.717,-2.717,10313.23,1.3,ok,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3_wl,0,6430,40033.40,-2.550,-2.550,10637.56,1.3,ok,,,,
mul32_mac,datapath,mul32_mac,orfs_speed_wl,0,6338,39555.44,-2.777,-2.777,10450.36,1.4,ok,,,,
mul32_mac,datapath,mul32_mac,orfs_speed,0,6338,39507.89,-2.725,-2.725,10137.80,1.4,ok,,,,
mul32_mac,datapath,mul32_mac,t,0,6338,39555.44,-2.777,-2.777,10450.36,1.5,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map,0,13934,65830.64,-1.142,-1.142,8519.29,2.0,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map_wl,0,13936,66954.21,-1.153,-1.153,8954.23,2.2,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn_wl,1,12417,56920.84,-0.963,-0.963,8804.26,2.5,ok,,-0.980,-0.980,
mul32_mac,datapath,mul32_mac,delay_map_resyn,0,12413,57480.13,-1.002,-1.002,8509.73,2.5,ok,,,,
mul32_mac,datapath,mul32_mac,balanced_resyn2x_wl,0,6538,40108.47,-2.752,-2.752,10443.25,3.5,ok,,,,
mul32_mac,datapath,mul32_mac,balanced_resyn2x,0,6527,39804.43,-2.837,-2.837,10224.83,3.5,ok,,,,
fir8,dsp,fir8,delay_choice_deep_v3,0,1734,13527.97,0.180,0.000,10268.75,0.5,ok,,,,
fir8,dsp,fir8,orfs_speed_wl,0,1717,13283.99,0.139,0.000,10721.43,0.5,ok,,,,
fir8,dsp,fir8,delay_choice_deep_v3_wl,0,1744,13674.36,0.346,0.000,10508.30,0.4,ok,,,,
fir8,dsp,fir8,t,0,1717,13283.99,0.139,0.000,10721.43,0.5,ok,,,,
fir8,dsp,fir8,orfs_speed,0,1708,13294.00,0.323,0.000,10362.18,0.5,ok,,,,
fir8,dsp,fir8,delay_map_wl,0,3753,19671.37,1.582,0.000,9241.97,0.6,ok,,,,
fir8,dsp,fir8,delay_map,0,3750,19562.51,1.528,0.000,8830.88,0.7,ok,,,,
fir8,dsp,fir8,delay_map_resyn,0,2912,15663.77,1.628,0.000,8711.87,0.7,ok,,,,
fir8,dsp,fir8,delay_map_resyn_wl,1,2913,16158.00,1.657,0.000,9112.90,0.7,ok,,1.630,0.000,
fir8,dsp,fir8,balanced_resyn2x,0,1660,13012.48,-0.040,-0.121,10522.27,1.0,ok,,,,
fir8,dsp,fir8,balanced_resyn2x_wl,0,1672,13135.10,-0.029,-0.088,10779.89,1.0,ok,,,,
aes_round,crypto,aes_round,t,0,9702,56784.46,1.268,0.000,5245.54,2.7,ok,,,,
aes_round,crypto,aes_round,orfs_speed,0,9666,55918.63,1.265,0.000,5190.01,2.8,ok,,,,
aes_round,crypto,aes_round,delay_choice_deep_v3,0,9563,57296.20,1.397,0.000,4991.75,2.8,ok,,,,
aes_round,crypto,aes_round,delay_choice_deep_v3_wl,0,9594,57512.66,1.402,0.000,5158.73,2.9,ok,,,,
aes_round,crypto,aes_round,orfs_speed_wl,0,9702,56784.46,1.268,0.000,5245.54,2.9,ok,,,,
aes_round,crypto,aes_round,delay_map_wl,0,14620,70951.80,1.704,0.000,4818.63,3.3,ok,,,,
aes_round,crypto,aes_round,delay_map,0,14609,69809.45,1.630,0.000,4760.22,3.4,ok,,,,
aes_round,crypto,aes_round,delay_map_resyn_wl,1,14203,69183.85,1.777,0.000,4737.78,3.6,ok,,1.760,0.000,
aes_round,crypto,aes_round,delay_map_resyn,0,14190,68207.92,1.708,0.000,4549.92,3.7,ok,,,,
aes_round,crypto,aes_round,balanced_resyn2x,0,9475,53537.60,1.422,0.000,4947.16,5.5,ok,,,,
aes_round,crypto,aes_round,balanced_resyn2x_wl,0,9521,53935.48,1.430,0.000,5083.46,5.6,ok,,,,
sha256_core,crypto,sha256_core,delay_choice_deep_v3,0,8930,68291.75,-0.484,-1.484,11768.57,1.6,ok,,,,
sha256_core,crypto,sha256_core,delay_choice_deep_v3_wl,0,8934,68632.07,-0.441,-1.120,12103.81,1.6,ok,,,,
sha256_core,crypto,sha256_core,t,0,8792,67764.99,-0.246,-0.378,12095.57,1.7,ok,,,,
sha256_core,crypto,sha256_core,orfs_speed_wl,0,8792,67764.99,-0.246,-0.378,12095.57,1.7,ok,,,,
sha256_core,crypto,sha256_core,orfs_speed,0,8788,67689.92,-0.214,-0.446,11735.33,1.8,ok,,,,
sha256_core,crypto,sha256_core,delay_map_wl,1,11714,75924.07,1.399,0.000,10370.97,1.9,ok,,1.370,0.000,
sha256_core,crypto,sha256_core,delay_map,0,11710,75574.98,1.137,0.000,10201.59,1.9,ok,,,,
sha256_core,crypto,sha256_core,delay_map_resyn_wl,0,10601,71335.92,0.368,0.000,11224.52,2.3,ok,,,,
sha256_core,crypto,sha256_core,delay_map_resyn,0,10600,70989.33,0.353,0.000,10666.37,2.5,ok,,,,
sha256_core,crypto,sha256_core,balanced_resyn2x,0,8673,66343.63,-0.887,-5.257,12123.46,3.5,ok,,,,
sha256_core,crypto,sha256_core,balanced_resyn2x_wl,0,8675,66791.56,-0.570,-2.570,12477.09,3.8,ok,,,,
crc32_8,logic,crc32_8,delay_map,0,279,2529.93,0.128,0.000,2558.90,0.2,ok,,,,
crc32_8,logic,crc32_8,delay_map_resyn,0,320,2755.14,0.206,0.000,2449.96,0.2,ok,,,,
crc32_8,logic,crc32_8,orfs_speed,0,198,2250.91,-0.131,-0.877,3135.59,0.2,ok,,,,
crc32_8,logic,crc32_8,delay_choice_deep_v3,0,198,2253.41,-0.146,-0.347,2961.02,0.2,ok,,,,
crc32_8,logic,crc32_8,orfs_speed_wl,0,198,2250.91,-0.131,-0.877,3197.07,0.2,ok,,,,
crc32_8,logic,crc32_8,delay_map_resyn_wl,1,320,2778.92,0.258,0.000,2546.69,0.2,ok,,0.270,0.000,
crc32_8,logic,crc32_8,delay_map_wl,0,279,2539.94,0.145,0.000,2619.57,0.2,ok,,,,
crc32_8,logic,crc32_8,delay_choice_deep_v3_wl,0,198,2263.42,-0.146,-0.347,3040.33,0.2,ok,,,,
crc32_8,logic,crc32_8,t,0,198,2250.91,-0.131,-0.877,3197.07,0.2,ok,,,,
crc32_8,logic,crc32_8,balanced_resyn2x,0,227,2152.06,-0.329,-0.549,3100.71,0.2,ok,,,,
crc32_8,logic,crc32_8,balanced_resyn2x_wl,0,227,2148.31,-0.234,-0.528,3146.38,0.2,ok,,,,
rr_arbiter16,logic,rr_arbiter16,delay_map,1,581,3749.85,0.069,0.000,4163.75,0.2,ok,,0.060,0.000,
rr_arbiter16,logic,rr_arbiter16,delay_choice_deep_v3,0,393,3065.44,-0.430,-4.196,4809.73,0.2,ok,,,,
rr_arbiter16,logic,rr_arbiter16,delay_map_resyn,0,563,3744.84,-0.089,-0.089,4236.21,0.2,ok,,,,
rr_arbiter16,logic,rr_arbiter16,orfs_speed,0,405,3051.68,-0.723,-6.382,5286.14,0.2,ok,,,,
rr_arbiter16,logic,rr_arbiter16,delay_map_wl,0,582,3867.46,0.026,0.000,4312.18,0.2,ok,,,,
rr_arbiter16,logic,rr_arbiter16,orfs_speed_wl,0,405,3081.71,-0.728,-6.282,5443.72,0.2,ok,,,,
rr_arbiter16,logic,rr_arbiter16,t,0,405,3081.71,-0.728,-6.282,5443.72,0.2,ok,,,,
rr_arbiter16,logic,rr_arbiter16,delay_choice_deep_v3_wl,0,393,3090.46,-0.365,-3.674,4929.02,0.2,ok,,,,
rr_arbiter16,logic,rr_arbiter16,delay_map_resyn_wl,0,563,3809.90,-0.023,-0.023,4369.79,0.2,ok,,,,
rr_arbiter16,logic,rr_arbiter16,balanced_resyn2x,0,406,2991.62,-0.831,-6.071,5128.38,0.4,ok,,,,
rr_arbiter16,logic,rr_arbiter16,balanced_resyn2x_wl,0,406,3070.44,-0.825,-4.108,5273.11,0.4,ok,,,,
uart,control,uart,delay_map,0,466,4038.87,0.300,0.000,2262.69,0.2,ok,,,,
uart,control,uart,orfs_speed,0,392,3783.63,-0.101,-0.866,2611.57,0.2,ok,,,,
uart,control,uart,t,0,395,3926.27,0.033,0.000,2503.75,0.2,ok,,,,
uart,control,uart,orfs_speed_wl,0,395,3926.27,0.033,0.000,2503.75,0.2,ok,,,,
